time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.02,0.0,0.03,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,81,6,-24,-30,-454,-29,-2,-16,-121,0,0,0,0,
00:00:45,0.0,0.01,0.01,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,81,7,-25,-30,-455,-29,-2,-15,-122,0,0,0,0,
00:01:15,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,81,7,-24,-30,-456,-29,-2,-15,-122,0,0,0,0,
00:01:45,0.0,0.02,0.06,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,82,7,-24,-29,-458,-29,-1,-15,-122,0,0,0,0,
00:02:15,0.0,0.0,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,83,7,-23,-30,-456,-28,-2,-15,-122,0,0,0,0,
00:02:45,0.0,0.02,0.03,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,83,8,-25,-30,-457,-29,-2,-15,-123,0,0,0,0,
00:03:15,0.0,0.01,0.03,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,82,8,-24,-30,-455,-30,-3,-15,-123,0,0,0,0,
00:03:45,0.0,0.01,0.01,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,82,8,-24,-30,-456,-29,-1,-16,-121,0,0,0,0,
00:04:15,0.0,0.06,0.01,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-137,82,8,-24,-31,-455,-29,-2,-16,-122,0,0,0,0,
00:04:45,0.0,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,83,8,-23,-30,-456,-29,-1,-15,-122,0,0,0,0,
00:05:15,0.0,0.01,0.04,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,83,9,-25,-31,-456,-29,-3,-15,-122,0,0,0,0,
00:05:45,0.0,0.02,0.02,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,83,8,-24,-30,-455,-29,-1,-15,-121,0,0,0,0,
00:06:15,0.0,0.03,0.05,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,9,-24,-31,-456,-30,-2,-15,-122,0,0,0,0,
00:06:45,0.0,0.06,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,83,9,-23,-29,-457,-29,-2,-15,-121,0,0,0,0,
00:07:15,0.0,0.02,0.03,29.3,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,84,9,-24,-30,-456,-29,-1,-15,-121,0,0,0,0,
00:07:45,0.0,0.0,0.07,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,84,9,-24,-30,-455,-29,-2,-15,-122,0,0,0,0,
