time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.01,0.04,30.6,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,124,0,-39,-24,-444,-37,-1,-13,-131,0,0,0,0
00:00:45,0.0,0.02,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-155,125,0,-39,-24,-446,-38,0,-14,-130,0,0,0,0
00:01:15,0.0,0.0,0.0,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,124,0,-39,-24,-447,-38,0,-13,-130,0,0,0,0
00:01:45,0.0,0.02,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,125,0,-39,-24,-444,-38,-1,-13,-130,0,0,0,0
00:02:15,0.02,0.0,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,124,0,-38,-24,-446,-37,-1,-13,-129,0,0,0,0
00:02:45,0.01,0.04,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,124,0,-40,-24,-445,-37,-1,-13,-130,0,0,0,0
00:03:15,0.02,0.01,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,125,0,-38,-24,-444,-37,-1,-13,-129,0,0,0,0
00:03:45,0.0,0.0,0.01,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-24,-442,-39,0,-13,-129,0,0,0,0
00:04:15,0.0,0.0,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,125,0,-39,-24,-444,-37,-2,-13,-129,0,0,0,0
00:04:45,0.0,0.0,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-155,124,0,-39,-23,-445,-38,0,-12,-130,0,0,0,0
00:05:15,0.0,0.02,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-40,-24,-444,-38,-2,-13,-130,0,0,0,0
00:05:45,0.0,0.02,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,125,0,-39,-24,-445,-38,-1,-13,-129,0,0,0,0
00:06:15,0.0,0.04,0.05,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-156,126,0,-38,-24,-446,-38,-1,-13,-130,0,0,0,0
00:06:45,0.0,0.02,0.03,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,126,0,-38,-24,-443,-38,-1,-13,-129,0,0,0,0
00:07:15,0.0,0.03,0.06,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,125,0,-39,-24,-446,-37,0,-13,-129,0,0,0,0
00:07:45,0.02,0.03,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-154,126,0,-39,-24,-444,-38,-2,-13,-129,0,0,0,0
