Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
00:50:12 980,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
01:50:12 865,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
02:50:12 902,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
03:50:12 718,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
04:50:12 663,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
05:50:12 632,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
06:50:12 606,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
07:50:12 500,0.6295798,0.9088197,0.6162,0.4052099,0.1873,0.8106501,0.15339,0.86272,0.4243802,0.2347101,0.67593,0.13204,0.6092201,,0.09930997,0.09859002,0.66686,0.7361899,0.13741,0.10771002,0.6949101,0.2893801,0.5910101,0.4105599,0.09798,0.64662,0.135,0.123,0.43,0.309,0,,,,,,,,,,,,,,,,,,,,1.14144,0.9144402,0.628,0.10858998,0.14527,0.9195399,1.05025,0.6845899,0.145,0.1414601,1.48327,0.286,0.9847398,,0.11836001,0.12105002,0.56024,0.5235598,0.18331,0.13073,0.3194,0.1675,0.77043,0.3671901,0.44545,0.92303,0.17,0.108,0.526,0.361,0.247,0.338,0.599,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3069301,,0.2870601,,,,
08:50:12 442,0.62941,0.9098696,0.61624,0.4052499,0.18729,0.8100301,0.15339,0.8616199,0.4244302,0.2346501,0.67787,0.13213,0.60971,,0.09943997,0.09842,0.6668298,0.7362799,0.13745,0.10759,0.69702,0.2895801,0.5912102,0.41053,0.09819001,0.6466301,0.135,0.123,0.43,0.305,0.40,,,,,,,,,,,,,,,,,,,,1.14143,0.9145303,0.628,0.10842998,0.1455301,0.9156901,1.05034,0.6844899,0.1450101,0.1416601,1.48134,0.286,0.9866399,,0.11881004,0.12151,0.55955,0.5240899,0.18349,0.13099,0.31944,0.16755,0.7702801,0.3685901,0.44522,0.92603,0.17,0.108,0.526,0.367,0.246,0.33,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3075001,,0.2869301,,,,
09:50:12 413,0.6295299,0.9102097,0.61613,0.40514,0.1873501,0.8099799,0.15355,0.8587702,0.4242901,0.2343101,0.67676,0.13164,0.60939,,0.09943999,0.09888999,0.6668698,0.7362499,0.13731,0.10778004,0.7017002,0.2897101,0.5909702,0.41052,0.09811003,0.64664,0.135,0.123,0.43,0.,,,,,,,,,,,,,,,,,,,,,1.14167,0.9144102,0.628,0.10829999,0.1456301,0.9161202,1.05092,0.6840197,0.1448401,0.14177,1.48066,0.286,0.98673,,0.11875003,0.12123003,0.5596301,0.5243899,0.18345,0.13102,0.31947,0.16753,0.76972,0.3702801,0.4435901,0.92585,0.17,0.108,0.526,0.367,0.246,0.3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3075201,,0.28663,,,,
