Time,Cyl[1].WP_Time,Cyl[2].WP_Time,Cyl[3].WP_Time,Cyl[4].WP_Time,Cyl[5].WP_Time,Cyl[6].WP_Time,Cyl[7].WP_Time,Cyl[8].WP_Time,Cyl[9].WP_Time,Cyl[10].WP_Time,Cyl[11].WP_Time,Cyl[12].WP_Time,Cyl[13].WP_Time,Cyl[14].WP_Time,Cyl[15].WP_Time,Cyl[16].WP_Time,Cyl[17].WP_Time,Cyl[18].WP_Time,Cyl[19].WP_Time,Cyl[20].WP_Time,Cyl[21].WP_Time,Cyl[22].WP_Time,Cyl[23].WP_Time,Cyl[24].WP_Time,Cyl[25].WP_Time,Cyl[26].WP_Time,Cyl[27].WP_Time,Cyl[28].WP_Time,Cyl[29].WP_Time,Cyl[30].WP_Time,Cyl[31].WP_Time,Cyl[32].WP_Time,Cyl[33].WP_Time,Cyl[34].WP_Time,Cyl[35].WP_Time,Cyl[36].WP_Time,Cyl[37].WP_Time,Cyl[38].WP_Time,Cyl[39].WP_Time,Cyl[40].WP_Time,Cyl[41].WP_Time,Cyl[42].WP_Time,Cyl[43].WP_Time,Cyl[44].WP_Time,Cyl[45].WP_Time,Cyl[46].WP_Time,Cyl[47].WP_Time,Cyl[48].WP_Time,Cyl[49].WP_Time,Cyl[50].WP_Time,Cyl[1].HP_Time,Cyl[2].HP_Time,Cyl[3].HP_Time,Cyl[4].HP_Time,Cyl[5].HP_Time,Cyl[6].HP_Time,Cyl[7].HP_Time,Cyl[8].HP_Time,Cyl[9].HP_Time,Cyl[10].HP_Time,Cyl[11].HP_Time,Cyl[12].HP_Time,Cyl[13].HP_Time,Cyl[14].HP_Time,Cyl[15].HP_Time,Cyl[16].HP_Time,Cyl[17].HP_Time,Cyl[18].HP_Time,Cyl[19].HP_Time,Cyl[20].HP_Time,Cyl[21].HP_Time,Cyl[22].HP_Time,Cyl[23].HP_Time,Cyl[24].HP_Time,Cyl[25].HP_Time,Cyl[26].HP_Time,Cyl[27].HP_Time,Cyl[28].HP_Time,Cyl[29].HP_Time,Cyl[30].HP_Time,Cyl[31].HP_Time,Cyl[32].HP_Time,Cyl[33].HP_Time,Cyl[34].HP_Time,Cyl[35].HP_Time,Cyl[36].HP_Time,Cyl[37].HP_Time,Cyl[38].HP_Time,Cyl[39].HP_Time,Cyl[40].HP_Time,Cyl[41].HP_Time,Cyl[42].HP_Time,Cyl[43].HP_Time,Cyl[44].HP_Time,Cyl[45].HP_Time,Cyl[46].HP_Time,Cyl[47].HP_Time,Cyl[48].HP_Time,Cyl[49].HP_Time,Cyl[50].HP_Time,Vac[1]_Time,Vac[2]_Time,Vac[3]_Time,Vac[4]_Time,Vac[5]_Time,Vac[6]_Time,Vac[7]_Time,Vac[8]_Time,Vac[9]_Time,Vac[10]_Time
00:50:08 851,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
01:50:08 787,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
02:50:08 706,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
03:50:08 635,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
04:50:08 646,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
05:50:08 562,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
06:50:08 490,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
07:50:08 468,0.62913,0.9121897,0.61667,0.40484,0.18737,0.8125201,0.15366,0.71342,0.4226299,0.23331,0.6871902,0.1394101,0.60881,,0.09692001,0.09804998,0.6661701,0.7334699,0.13717,0.10749999,0.71055,1.59335,0.5916202,0.41018,1.13005,0.6461498,0.135,0.123,0.43,0.309,0.41,,,,,,,,,,,,,,,,,,,,1.14183,0.9132299,0.628,0.10829998,0.14591,0.92213,1.04955,0.6569301,0.14166,0.1406,1.47617,0.286,0.9827799,,0.11775003,0.12104006,0.5598402,0.5253701,0.1835,0.12924,0.3197901,1.15423,0.7676801,0.3713302,2.14588,0.9236101,0.17,0.108,0.526,0.364,0.245,0.338,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3260801,,0.28464,,,
08:50:08 453,0.6292699,0.9131396,0.61662,0.40478,0.18748,0.81219,0.18035,0.7141299,0.42283,0.23332,0.6896401,0.1395501,0.60921,,0.09706002,0.09813,0.66612,0.73358,0.13719,0.10750999,0.71191,1.59372,0.5917501,0.4102399,1.12133,0.6461199,0.135,0.123,0.43,0.308,0.408,0.43,,,,,,,,,,,,,,,,,,,1.14218,0.9134399,0.628,0.10827998,0.14599,0.92075,1.04952,0.6573102,0.1416301,0.14065,1.47548,0.286,0.9838999,,0.11807006,0.12121006,0.5596001,0.5255301,0.18364,0.1293699,0.31987,1.15415,0.7673199,0.3727801,0.8352099,0.9260501,0.17,0.108,0.526,0.364,0.25,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.32611,,0.6208199,,,
09:50:08 301,0.62886,0.9131998,0.6164601,0.40493,0.18791,0.81259,0.1805001,0.72139,0.4230601,0.2337901,0.6869401,0.13969,0.6097501,,0.09837999,0.09835999,0.66618,0.7335999,0.13694,0.10686001,0.7128599,0.53064,0.59182,0.41039,0.09962998,0.6464899,0.135,0.123,0.43,0.308,,,,,,,,,,,,,,,,,,,,,1.14169,0.9136101,0.628,0.10858999,0.14573,0.9178999,1.05027,0.65991,0.14156,0.1406,1.473,0.286,0.9827701,,0.12051,0.12224999,0.56009,0.52633,0.18373,0.12983,0.31992,1.12922,0.76551,0.37557,0.4312401,0.92461,0.17,0.108,0.526,0.364,0.25,0.338,0.6,0.316,1.15,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.30891,,0.6203699,,,
