时间,通道,亮度,设置时间
2025/06/30 08:16:43:683,2,255,24ms
2025/06/30 08:16:43:809,2,0,23ms
2025/06/30 08:16:44:517,3,90,23ms
2025/06/30 08:16:44:548,2,255,24ms
2025/06/30 08:16:44:614,3,0,23ms
2025/06/30 08:16:44:645,2,0,23ms
2025/06/30 08:16:45:216,6,255,24ms
2025/06/30 08:16:45:282,6,0,24ms
2025/06/30 08:16:45:590,6,255,23ms
2025/06/30 08:16:45:658,6,0,23ms
2025/06/30 08:16:50:804,2,255,24ms
2025/06/30 08:16:50:914,2,0,23ms
2025/06/30 08:16:51:412,3,255,23ms
2025/06/30 08:16:51:479,3,0,24ms
2025/06/30 08:16:51:510,2,255,23ms
2025/06/30 08:16:51:620,2,0,24ms
2025/06/30 08:16:52:935,1,255,23ms
2025/06/30 08:16:53:044,1,0,23ms
2025/06/30 08:16:53:075,4,255,23ms
2025/06/30 08:16:53:183,4,0,23ms
2025/06/30 08:16:53:333,4,255,23ms
2025/06/30 08:16:53:438,4,0,23ms
2025/06/30 08:16:54:720,5,255,24ms
2025/06/30 08:16:54:878,5,0,24ms
2025/06/30 08:16:54:909,4,255,24ms
2025/06/30 08:16:54:990,4,0,23ms
2025/06/30 08:16:55:293,5,255,23ms
2025/06/30 08:16:55:456,5,0,24ms
2025/06/30 08:16:55:486,4,255,24ms
2025/06/30 08:16:55:571,4,0,24ms
2025/06/30 08:17:05:971,3,255,23ms
2025/06/30 08:17:06:033,3,0,23ms
2025/06/30 08:17:06:064,3,0,23ms
2025/06/30 08:17:06:096,2,255,24ms
2025/06/30 08:17:06:204,3,0,24ms
2025/06/30 08:17:06:234,2,0,23ms
2025/06/30 08:17:07:877,2,255,24ms
2025/06/30 08:17:07:969,2,0,23ms
2025/06/30 08:17:09:163,2,255,23ms
2025/06/30 08:17:09:289,2,0,24ms
2025/06/30 08:17:09:988,3,90,23ms
2025/06/30 08:17:10:019,2,255,24ms
2025/06/30 08:17:10:088,3,0,23ms
2025/06/30 08:17:10:119,2,0,24ms
2025/06/30 08:17:10:703,6,255,23ms
2025/06/30 08:17:10:771,6,0,23ms
2025/06/30 08:17:11:044,6,255,23ms
2025/06/30 08:17:11:111,6,0,23ms
2025/06/30 08:17:23:273,2,255,23ms
2025/06/30 08:17:23:381,2,0,24ms
2025/06/30 08:17:23:873,3,255,23ms
2025/06/30 08:17:23:940,3,0,24ms
2025/06/30 08:17:23:970,2,255,22ms
2025/06/30 08:17:24:086,2,0,23ms
2025/06/30 08:17:25:378,1,255,23ms
2025/06/30 08:17:25:488,1,0,23ms
2025/06/30 08:17:25:519,4,255,23ms
2025/06/30 08:17:25:623,4,0,23ms
2025/06/30 08:17:25:773,4,255,23ms
2025/06/30 08:17:25:878,4,0,24ms
2025/06/30 08:17:27:185,5,255,23ms
2025/06/30 08:17:27:351,5,0,24ms
2025/06/30 08:17:27:381,4,255,23ms
2025/06/30 08:17:27:465,4,0,24ms
2025/06/30 08:17:27:797,5,255,24ms
2025/06/30 08:17:27:961,5,0,23ms
2025/06/30 08:17:27:992,4,255,23ms
2025/06/30 08:17:28:077,4,0,23ms
2025/06/30 08:17:38:236,3,255,23ms
2025/06/30 08:17:38:299,3,0,23ms
2025/06/30 08:17:38:330,3,0,23ms
2025/06/30 08:17:38:361,2,255,24ms
2025/06/30 08:17:38:472,3,0,23ms
2025/06/30 08:17:38:504,2,0,24ms
2025/06/30 08:17:40:796,2,255,24ms
2025/06/30 08:17:40:921,2,0,24ms
2025/06/30 08:17:41:619,3,90,23ms
2025/06/30 08:17:41:650,2,255,23ms
2025/06/30 08:17:41:716,3,0,23ms
2025/06/30 08:17:41:748,2,0,24ms
2025/06/30 08:17:42:321,6,255,23ms
2025/06/30 08:17:42:389,6,0,23ms
2025/06/30 08:17:42:608,6,255,23ms
2025/06/30 08:17:42:675,6,0,24ms
2025/06/30 08:17:53:952,2,255,23ms
2025/06/30 08:17:54:065,2,0,23ms
2025/06/30 08:17:54:566,3,255,24ms
2025/06/30 08:17:54:635,3,0,24ms
2025/06/30 08:17:54:665,2,255,23ms
2025/06/30 08:17:54:775,2,0,23ms
2025/06/30 08:17:56:068,1,255,24ms
2025/06/30 08:17:56:178,1,0,25ms
2025/06/30 08:17:56:208,4,255,23ms
2025/06/30 08:17:56:309,4,0,24ms
2025/06/30 08:17:56:457,4,255,24ms
2025/06/30 08:17:56:562,4,0,23ms
2025/06/30 08:17:57:859,5,255,23ms
2025/06/30 08:17:58:019,5,0,23ms
2025/06/30 08:17:58:050,4,255,23ms
2025/06/30 08:17:58:133,4,0,23ms
2025/06/30 08:17:58:507,5,255,24ms
2025/06/30 08:17:58:667,5,0,23ms
2025/06/30 08:17:58:698,4,255,23ms
2025/06/30 08:17:58:783,4,0,24ms
2025/06/30 08:18:09:139,3,255,23ms
2025/06/30 08:18:09:202,3,0,23ms
2025/06/30 08:18:09:234,3,0,24ms
2025/06/30 08:18:09:266,2,255,24ms
2025/06/30 08:18:09:374,3,0,23ms
2025/06/30 08:18:09:405,2,0,24ms
2025/06/30 08:18:10:726,2,255,24ms
2025/06/30 08:18:10:820,2,0,23ms
2025/06/30 08:22:47:685,2,255,24ms
2025/06/30 08:22:47:810,2,0,24ms
2025/06/30 08:22:48:509,3,90,24ms
2025/06/30 08:22:48:539,2,255,23ms
2025/06/30 08:22:48:605,3,0,23ms
2025/06/30 08:22:48:635,2,0,23ms
2025/06/30 08:22:49:228,6,255,23ms
2025/06/30 08:22:49:295,6,0,23ms
2025/06/30 08:22:49:511,6,255,24ms
2025/06/30 08:22:49:578,6,0,23ms
2025/06/30 08:22:54:583,2,255,23ms
2025/06/30 08:22:54:692,2,0,24ms
2025/06/30 08:22:55:198,3,255,23ms
2025/06/30 08:22:55:267,3,0,24ms
2025/06/30 08:22:55:297,2,255,23ms
2025/06/30 08:22:55:405,2,0,23ms
2025/06/30 08:22:56:692,1,255,24ms
2025/06/30 08:22:56:802,1,0,23ms
2025/06/30 08:22:56:833,4,255,23ms
2025/06/30 08:22:56:934,4,0,23ms
2025/06/30 08:22:57:084,4,255,24ms
2025/06/30 08:22:57:188,4,0,23ms
2025/06/30 08:22:58:495,5,255,24ms
2025/06/30 08:22:58:661,5,0,23ms
2025/06/30 08:22:58:692,4,255,24ms
2025/06/30 08:22:58:775,4,0,23ms
2025/06/30 08:22:59:105,5,255,24ms
2025/06/30 08:22:59:263,5,0,24ms
2025/06/30 08:22:59:293,4,255,23ms
2025/06/30 08:22:59:378,4,0,23ms
2025/06/30 08:23:09:420,3,255,24ms
2025/06/30 08:23:09:481,3,0,23ms
2025/06/30 08:23:09:512,3,0,23ms
2025/06/30 08:23:09:544,2,255,24ms
2025/06/30 08:23:09:651,3,0,23ms
2025/06/30 08:23:09:681,2,0,23ms
2025/06/30 08:23:59:695,2,255,24ms
2025/06/30 08:23:59:823,2,0,24ms
2025/06/30 08:24:00:541,3,90,24ms
2025/06/30 08:24:00:571,2,255,23ms
2025/06/30 08:24:00:637,3,0,23ms
2025/06/30 08:24:00:668,2,0,23ms
2025/06/30 08:24:01:255,6,255,24ms
2025/06/30 08:24:01:321,6,0,23ms
2025/06/30 08:24:01:622,6,255,23ms
2025/06/30 08:24:01:690,6,0,24ms
2025/06/30 08:24:06:885,2,255,23ms
2025/06/30 08:24:06:997,2,0,23ms
2025/06/30 08:24:07:505,3,255,24ms
2025/06/30 08:24:07:575,3,0,24ms
2025/06/30 08:24:07:605,2,255,23ms
2025/06/30 08:24:07:715,2,0,23ms
2025/06/30 08:24:09:012,1,255,23ms
2025/06/30 08:24:09:124,1,0,24ms
2025/06/30 08:24:09:155,4,255,23ms
2025/06/30 08:24:09:260,4,0,23ms
2025/06/30 08:24:09:407,4,255,23ms
2025/06/30 08:24:09:512,4,0,24ms
2025/06/30 08:24:10:797,5,255,24ms
2025/06/30 08:24:10:961,5,0,23ms
2025/06/30 08:24:10:992,4,255,23ms
2025/06/30 08:24:11:078,4,0,24ms
2025/06/30 08:24:11:397,5,255,23ms
2025/06/30 08:24:11:557,5,0,23ms
2025/06/30 08:24:11:588,4,255,23ms
2025/06/30 08:24:11:672,4,0,23ms
2025/06/30 08:24:22:021,3,255,23ms
2025/06/30 08:24:22:085,3,0,24ms
2025/06/30 08:24:22:115,3,0,23ms
2025/06/30 08:24:22:147,2,255,25ms
2025/06/30 08:24:22:257,3,0,23ms
2025/06/30 08:24:22:288,2,0,24ms
2025/06/30 08:24:23:608,2,255,24ms
2025/06/30 08:24:23:701,2,0,24ms
2025/06/30 08:50:48:457,2,255,24ms
2025/06/30 08:50:48:580,2,0,23ms
2025/06/30 08:50:49:285,3,90,23ms
2025/06/30 08:50:49:316,2,255,23ms
2025/06/30 08:50:49:381,3,0,23ms
2025/06/30 08:50:49:412,2,0,23ms
2025/06/30 08:50:49:953,6,255,24ms
2025/06/30 08:50:50:021,6,0,25ms
2025/06/30 08:50:50:417,6,255,24ms
2025/06/30 08:50:50:484,6,0,23ms
2025/06/30 08:50:55:698,2,255,23ms
2025/06/30 08:50:55:804,2,0,23ms
2025/06/30 08:50:56:310,3,255,23ms
2025/06/30 08:50:56:378,3,0,24ms
2025/06/30 08:50:56:409,3,0,23ms
2025/06/30 08:50:56:441,2,255,24ms
2025/06/30 08:50:56:554,3,0,24ms
2025/06/30 08:50:56:583,2,0,22ms
2025/06/30 08:50:57:878,1,255,23ms
2025/06/30 08:50:57:987,1,0,23ms
2025/06/30 08:50:58:018,4,255,23ms
2025/06/30 08:50:58:123,4,0,23ms
2025/06/30 08:50:58:272,4,255,23ms
2025/06/30 08:50:58:376,4,0,23ms
2025/06/30 08:50:59:690,5,255,23ms
2025/06/30 08:50:59:849,5,0,24ms
2025/06/30 08:50:59:879,4,255,23ms
2025/06/30 08:50:59:965,4,0,24ms
2025/06/30 08:51:00:314,5,255,24ms
2025/06/30 08:51:00:475,5,0,23ms
2025/06/30 08:51:00:506,4,255,23ms
2025/06/30 08:51:00:591,4,0,25ms
2025/06/30 08:51:10:859,3,255,24ms
2025/06/30 08:51:10:920,3,0,23ms
2025/06/30 08:51:10:951,3,0,23ms
2025/06/30 08:51:10:982,2,255,24ms
2025/06/30 08:51:11:091,3,0,23ms
2025/06/30 08:51:11:122,2,0,23ms
2025/06/30 08:51:16:665,2,255,23ms
2025/06/30 08:51:16:791,2,0,23ms
2025/06/30 08:51:17:534,3,90,23ms
2025/06/30 08:51:17:565,2,255,23ms
2025/06/30 08:51:17:631,3,0,24ms
2025/06/30 08:51:17:662,2,0,24ms
2025/06/30 08:51:18:243,6,255,23ms
2025/06/30 08:51:18:311,6,0,23ms
2025/06/30 08:51:18:744,6,255,24ms
2025/06/30 08:51:18:810,6,0,23ms
2025/06/30 08:51:25:156,2,255,23ms
2025/06/30 08:51:25:262,2,0,23ms
2025/06/30 08:51:25:757,3,255,24ms
2025/06/30 08:51:25:827,3,0,24ms
2025/06/30 08:51:25:858,3,0,23ms
2025/06/30 08:51:25:889,2,255,23ms
2025/06/30 08:51:25:998,3,0,23ms
2025/06/30 08:51:26:029,2,0,24ms
2025/06/30 08:51:35:283,3,255,23ms
2025/06/30 08:51:35:349,3,0,23ms
2025/06/30 08:51:35:380,3,0,23ms
2025/06/30 08:51:35:411,2,255,23ms
2025/06/30 08:51:35:524,3,0,23ms
2025/06/30 08:51:35:556,2,0,24ms
2025/06/30 08:51:36:852,1,255,23ms
2025/06/30 08:51:36:962,1,0,23ms
2025/06/30 08:51:36:993,4,255,23ms
2025/06/30 08:51:37:100,4,0,23ms
2025/06/30 08:51:37:250,4,255,23ms
2025/06/30 08:51:37:353,4,0,23ms
2025/06/30 08:51:38:659,5,255,23ms
2025/06/30 08:51:38:819,5,0,23ms
2025/06/30 08:51:38:850,4,255,23ms
2025/06/30 08:51:38:934,4,0,23ms
2025/06/30 08:51:39:281,5,255,23ms
2025/06/30 08:51:39:442,5,0,23ms
2025/06/30 08:51:39:473,4,255,23ms
2025/06/30 08:51:39:557,4,0,24ms
2025/06/30 08:51:49:742,3,255,23ms
2025/06/30 08:51:49:804,3,0,24ms
2025/06/30 08:51:49:836,3,0,23ms
2025/06/30 08:51:49:867,2,255,23ms
2025/06/30 08:51:49:974,3,0,23ms
2025/06/30 08:51:50:005,2,0,23ms
2025/06/30 08:51:51:349,2,255,24ms
2025/06/30 08:51:51:444,2,0,24ms
