time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:00:15,0.0,0.01,0.04,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,106,4,0,-38,-442,-35,1,-17,-120,0,0,0,0
00:00:45,0.0,0.03,0.03,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-138,105,4,0,-37,-442,-35,0,-17,-122,0,0,0,0
00:01:15,0.0,0.02,0.01,28.4,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,106,5,0,-36,-442,-35,1,-17,-122,0,0,0,0
00:01:45,0.0,0.0,0.0,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,106,5,0,-37,-440,-35,1,-18,-122,0,0,0,0
00:02:15,0.0,0.01,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-140,106,6,0,-37,-440,-36,3,-18,-122,0,0,0,0
00:02:45,0.0,0.03,0.03,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-140,107,6,0,-36,-442,-35,2,-17,-122,0,0,0,0
00:03:15,0.0,0.06,0.01,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,105,6,0,-37,-441,-35,1,-17,-121,0,0,0,0
00:03:45,0.0,0.03,0.01,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,106,5,0,-37,-441,-35,1,-17,-122,0,0,0,0
00:04:15,0.0,0.0,0.0,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,107,6,0,-37,-442,-36,1,-17,-121,0,0,0,0
00:04:45,0.0,0.0,0.03,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,107,6,0,-37,-441,-35,1,-18,-122,0,0,0,0
00:05:15,0.0,0.04,0.01,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,107,7,0,-36,-442,-35,2,-18,-122,0,0,0,0
00:05:45,0.0,0.03,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,106,7,0,-37,-441,-35,0,-17,-121,0,0,0,0
00:06:15,0.0,0.0,0.02,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-139,106,7,0,-37,-441,-35,3,-18,-121,0,0,0,0
00:06:45,0.0,0.0,0.0,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-137,107,6,0,-37,-441,-35,1,-17,-122,0,0,0,0
00:07:15,0.0,0.01,0.04,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-140,106,7,0,-38,-439,-36,1,-18,-121,0,0,0,0
00:07:45,0.02,0.06,0.0,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-139,107,7,0,-37,-442,-35,0,-18,-122,0,0,0,0
00:08:15,0.0,0.0,0.0,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,107,7,0,-36,-438,-36,1,-17,-120,0,0,0,0
00:08:45,0.0,0.03,0.02,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,109,7,0,-37,-439,-35,0,-17,-121,0,0,0,0
00:09:15,0.0,0.03,0.01,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-140,108,7,0,-37,-439,-34,2,-17,-121,0,0,0,0
00:09:45,0.0,0.0,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,108,7,0,-36,-442,-36,2,-17,-121,0,0,0,0
00:10:15,0.0,0.0,0.04,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,108,8,0,-36,-442,-36,1,-17,-121,0,0,0,0
00:10:45,0.0,0.02,0.01,28.3,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,107,8,0,-37,-442,-36,1,-17,-121,0,0,0,0
00:11:15,0.0,0.01,0.03,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,108,8,0,-36,-440,-36,0,-17,-121,0,0,0,0
00:11:45,0.0,0.05,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-15,-140,109,8,0,-37,-440,-36,1,-17,-121,0,0,0,0
00:12:15,0.0,0.03,0.03,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-15,-139,107,8,0,-36,-442,-34,1,-17,-120,0,0,0,0
00:12:45,0.0,0.02,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-17,-138,107,8,0,-37,-443,-36,1,-17,-121,0,0,0,0
00:13:15,0.0,0.03,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-15,-138,108,8,0,-36,-442,-34,0,-17,-121,0,0,0,0
00:13:45,0.0,0.0,0.02,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-139,107,8,0,-36,-443,-35,3,-18,-121,0,0,0,0
00:14:15,0.0,0.0,0.05,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,109,8,0,-37,-440,-35,1,-17,-120,0,0,0,0
00:14:45,0.0,0.0,0.01,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-137,108,8,0,-36,-440,-35,1,-17,-121,0,0,0,0
00:15:15,0.0,0.03,0.03,28.2,0.387,0.237,0.681,0.675,0.057,0.241,0.179,0.149,0.263,0.136,0.136,0.066,0.066,0.259,0.261,-16,-138,109,8,0,-37,-442,-35,1,-17,-120,0,0,0,0
