时间,采集时间
2025/06/25 13:40:07:147,77ms
2025/06/25 13:40:08:126,27ms
2025/06/25 13:40:08:781,32ms
2025/06/25 13:40:09:226,32ms
2025/06/25 13:40:14:611,128ms
2025/06/25 13:40:15:196,44ms
2025/06/25 13:40:15:330,35ms
2025/06/25 13:40:16:757,70ms
2025/06/25 13:40:16:893,56ms
2025/06/25 13:40:17:155,60ms
2025/06/25 13:40:18:613,120ms
2025/06/25 13:40:18:724,40ms
2025/06/25 13:40:19:202,120ms
2025/06/25 13:40:19:315,40ms
2025/06/25 13:40:28:997,27ms
2025/06/25 13:40:29:132,35ms
2025/06/25 13:41:09:686,77ms
2025/06/25 13:41:10:506,27ms
2025/06/25 13:41:11:193,32ms
2025/06/25 13:41:11:661,33ms
2025/06/25 13:41:17:137,128ms
2025/06/25 13:41:17:709,44ms
2025/06/25 13:41:17:844,35ms
2025/06/25 13:41:19:264,70ms
2025/06/25 13:41:19:406,56ms
2025/06/25 13:41:19:664,60ms
2025/06/25 13:41:21:103,119ms
2025/06/25 13:41:21:215,40ms
2025/06/25 13:41:21:634,120ms
2025/06/25 13:41:21:748,40ms
2025/06/25 13:41:31:818,27ms
2025/06/25 13:41:31:958,35ms
2025/06/25 13:41:33:398,52ms
2025/06/25 13:42:48:631,77ms
2025/06/25 13:42:49:418,27ms
2025/06/25 13:42:50:087,32ms
2025/06/25 13:42:50:563,32ms
2025/06/25 13:42:56:000,128ms
2025/06/25 13:42:56:577,44ms
2025/06/25 13:42:56:719,35ms
2025/06/25 13:42:58:135,70ms
2025/06/25 13:42:58:272,56ms
2025/06/25 13:42:58:533,60ms
2025/06/25 13:42:59:986,120ms
2025/06/25 13:43:00:097,40ms
2025/06/25 13:43:00:476,119ms
2025/06/25 13:43:00:591,40ms
2025/06/25 13:43:10:410,27ms
2025/06/25 13:43:10:545,35ms
2025/06/25 13:44:26:636,77ms
2025/06/25 13:44:27:471,27ms
2025/06/25 13:44:28:110,32ms
2025/06/25 13:44:28:542,32ms
2025/06/25 13:44:33:937,128ms
2025/06/25 13:44:34:518,49ms
2025/06/25 13:44:34:653,35ms
2025/06/25 13:44:36:079,70ms
2025/06/25 13:44:36:216,55ms
2025/06/25 13:44:36:470,60ms
2025/06/25 13:44:37:944,120ms
2025/06/25 13:44:38:054,40ms
2025/06/25 13:44:38:492,120ms
2025/06/25 13:44:38:602,40ms
2025/06/25 13:44:48:688,27ms
2025/06/25 13:44:48:829,35ms
2025/06/25 13:44:50:280,52ms
2025/06/25 13:45:52:926,78ms
2025/06/25 13:45:53:716,27ms
2025/06/25 13:45:54:401,32ms
2025/06/25 13:45:54:878,32ms
2025/06/25 13:46:00:318,128ms
2025/06/25 13:46:00:897,45ms
2025/06/25 13:46:01:033,36ms
2025/06/25 13:46:02:451,70ms
2025/06/25 13:46:02:589,56ms
2025/06/25 13:46:02:851,60ms
2025/06/25 13:46:04:283,120ms
2025/06/25 13:46:04:395,40ms
2025/06/25 13:46:04:844,120ms
2025/06/25 13:46:04:955,40ms
2025/06/25 13:46:14:819,27ms
2025/06/25 13:46:14:959,35ms
2025/06/25 13:47:26:571,77ms
2025/06/25 13:47:27:392,28ms
2025/06/25 13:47:28:079,32ms
2025/06/25 13:47:28:504,32ms
2025/06/25 13:47:33:883,129ms
2025/06/25 13:47:34:453,44ms
2025/06/25 13:47:34:593,36ms
2025/06/25 13:47:36:021,70ms
2025/06/25 13:47:36:157,56ms
2025/06/25 13:47:36:416,60ms
2025/06/25 13:47:37:890,119ms
2025/06/25 13:47:38:005,40ms
2025/06/25 13:47:38:464,120ms
2025/06/25 13:47:38:575,40ms
2025/06/25 13:47:48:393,27ms
2025/06/25 13:47:48:532,35ms
2025/06/25 13:47:49:983,52ms
2025/06/25 13:51:43:487,77ms
2025/06/25 13:51:44:297,27ms
2025/06/25 13:51:44:972,32ms
2025/06/25 13:51:45:420,32ms
2025/06/25 13:51:50:822,128ms
2025/06/25 13:51:51:401,44ms
2025/06/25 13:51:51:539,35ms
2025/06/25 13:51:52:946,70ms
2025/06/25 13:51:53:083,56ms
2025/06/25 13:51:53:342,60ms
2025/06/25 13:51:54:799,120ms
2025/06/25 13:51:54:912,40ms
2025/06/25 13:51:55:375,120ms
2025/06/25 13:51:55:487,40ms
2025/06/25 13:52:05:237,27ms
2025/06/25 13:52:05:377,36ms
2025/06/25 13:53:17:341,78ms
2025/06/25 13:53:18:181,27ms
2025/06/25 13:53:18:855,32ms
2025/06/25 13:53:19:331,32ms
2025/06/25 13:53:24:796,128ms
2025/06/25 13:53:25:364,45ms
2025/06/25 13:53:25:503,35ms
2025/06/25 13:53:26:918,70ms
2025/06/25 13:53:27:056,56ms
2025/06/25 13:53:27:316,60ms
2025/06/25 13:53:28:775,120ms
2025/06/25 13:53:28:887,41ms
2025/06/25 13:53:29:344,120ms
2025/06/25 13:53:29:455,40ms
2025/06/25 13:53:39:547,27ms
2025/06/25 13:53:39:682,35ms
2025/06/25 13:53:41:127,53ms
2025/06/25 13:54:55:998,77ms
2025/06/25 13:54:56:754,27ms
2025/06/25 13:54:57:429,32ms
2025/06/25 13:54:57:973,32ms
2025/06/25 13:55:03:480,128ms
2025/06/25 13:55:04:056,44ms
2025/06/25 13:55:04:194,36ms
2025/06/25 13:55:05:612,70ms
2025/06/25 13:55:05:745,56ms
2025/06/25 13:55:06:002,60ms
2025/06/25 13:55:07:449,120ms
2025/06/25 13:55:07:562,40ms
2025/06/25 13:55:07:937,120ms
2025/06/25 13:55:08:050,40ms
2025/06/25 13:55:17:918,27ms
2025/06/25 13:55:18:054,35ms
2025/06/25 13:56:35:624,77ms
2025/06/25 13:56:36:427,27ms
2025/06/25 13:56:37:071,32ms
2025/06/25 13:56:37:555,32ms
2025/06/25 13:56:43:004,128ms
2025/06/25 13:56:43:578,44ms
2025/06/25 13:56:43:717,35ms
2025/06/25 13:56:45:140,70ms
2025/06/25 13:56:45:278,56ms
2025/06/25 13:56:45:529,60ms
2025/06/25 13:56:46:975,120ms
2025/06/25 13:56:47:091,40ms
2025/06/25 13:56:47:531,120ms
2025/06/25 13:56:47:646,41ms
2025/06/25 13:56:57:768,27ms
2025/06/25 13:56:57:908,35ms
2025/06/25 13:56:59:349,52ms
2025/06/25 13:58:02:733,77ms
2025/06/25 13:58:03:533,27ms
2025/06/25 13:58:04:203,33ms
2025/06/25 13:58:04:666,32ms
2025/06/25 13:58:10:111,128ms
2025/06/25 13:58:10:681,44ms
2025/06/25 13:58:10:817,35ms
2025/06/25 13:58:12:234,70ms
2025/06/25 13:58:12:371,56ms
2025/06/25 13:58:12:628,60ms
2025/06/25 13:58:14:073,120ms
2025/06/25 13:58:14:185,40ms
2025/06/25 13:58:14:633,120ms
2025/06/25 13:58:14:745,40ms
2025/06/25 13:58:24:550,27ms
