Time,HsgSn,SPK_SN,Board_SN,mode,4_HalfAtlasResult,2_FullAtlasResult,1_FullAtlasResult,4_FullAtlasResult,S2S3InstallPTid,S2S3AssyStation,S2S3AssyPlatformId,Lock_PlatformId,LockScrewStation,LockScrewPlatformId,MaxPressSPKData,MaxPressCHGData,BracketMaxPress,SPK Screw 4_Half FinalTorque,SPK Screw 4_Half FinalAngle,SPK Screw 4 PrevailingTorqueMax,SPK Screw 4 PrevailingTorqueMaxAngle,SPK Screw 4_Half RealAngle,SPK Screw 4_Half TorqueAt630,SPK Screw 4_Half Prev torque retest logic,KC Screw 2_Full FinalTorque,KC Screw 2_Full FinalAngle,KC Screw 2_Full PrevailingTorqueMax,KC Screw 2_Full PrevailingTorqueMaxAngle,KC Screw 2_Full RealAngle,KC Screw 2_Full TorqueAt630,KC Screw 2_Full Prev torque retest logic,KC Screw 1_Full FinalTorque,KC Screw 1_Full FinalAngle,KC Screw 1_Full PrevailingTorqueMax,KC Screw 1_Full PrevailingTorqueMaxAngle,KC Screw 1_Full RealAngle,KC Screw 1_Full TorqueAt630,KC Screw 1_Full Prev torque retest logic,SPK Screw 4_Full FinalTorque,SPK Screw 4_Full FinalAngle,SPK Screw 4_FULL TotalAngle,SPK Screw 4_FULL Prev torque retest logic,SPK_Pick_X,SPK_Pick_Y,SPK_Pick_R,SPK_Down_X,SPK_Down_Y,SPK_Down_R,SPK_Length,SPK_Width,HSG_Up_X,HSG_Up_Y,HSG_Up_R,HSGPoc_Length,HSGPoc_Width,CHG_Pick_X,CHG_Pick_Y,CHG_Pick_R,CHG_Up_X,CHG_Up_Y,CHG_Up_R,Assy_CHGPoc_Diameter,CHG_Down_X,CHG_Down_Y,CHG_Down_R,Rotate_CHGPoc_Diameter,PickSpkPress,PickChgPress,Cap_Diameter,Bracket_X,Bracket_Y,Bracket_R,CHG_Angle,Bracket_Angle,Recheck_Bracket_Angle,1_Screw 0D nylock area,1_Screw 90D nylock area,2_Screw 0D nylock area,2_Screw 90D nylock area,4_Screw 0D nylock area,4_Screw 90D nylock area,spk_Screw_Ipn,crowling_Screw_Ipn,configName,LastResult,ImagePath,SPKCirclePointLimitUp,SPKCirclePointLimitDown,SPKPosX1,SPKPosX2,SPKPosY1,SPKPosY2,SPKAngle1,SPKAngle2,CHGPosX1,CHGPosX2,CHGPosY1,CHGPosY2,CHGAngle1,CHGAngle2,SPKCirclePointDis1,SPKCirclePointDis2,SPK_CHG_Angle1,SPK_CHG_Angle2,Have_Ornot_O-ring1,Have_Ornot_O-ring2,SPKCirToLineUp1,SPKCirToLineUp2,SPKCirToLineDown1,SPKCirToLineDown2,Up_Dn_Line_Angle1,Up_Dn_Line_Angle2,Span_CHGAngle1,Span_CHGAngle2,Span_CHG_Diameter1,Span_CHG_Diameter2,Span_CHG_Pos1,Span_CHG_Pos2,Span_CHG_Del_X1,Span_CHG_Del_X2,Span_CHG_Del_Y1,Span_CHG_Del_Y2,Cap_Variance,SPK_DnCCD_SPKPosX1,SPK_DnCCD_SPKPosX2,SPK_DnCCD_SPKPosY1,SPK_DnCCD_SPKPosY2,SPK_DnCCD_SPKAngle1,SPK_DnCCD_SPKAngle2,SPK_DnCCD_SPKCirPoint1,SPK_DnCCD_SPKCirPoint2,SPK_DnCCD_LeftCirR1,SPK_DnCCD_LeftCirR2,SPK_DnCCD_RightCirR1,SPK_DnCCD_RightCirR2,SPK_DnCCD_SPKLength1,SPK_DnCCD_SPKLength2,SPK_DnCCD_SPKWidth1,SPK_DnCCD_SPKWidth2,AssSPK_HSGPoc_X1,AssSPK_HSGPoc_X2,AssSPK_HSGPoc_Y1,AssSPK_HSGPoc_Y2,AssSPK_HSGPoc_Angle1,AssSPK_HSGPoc_Angle2,AssSPK_HSGPoc_CirDis1,AssSPK_HSGPoc_CirDis2,AssSPK_HSGPoc_LeftCirR1,AssSPK_HSGPoc_LeftCirR2,AssSPK_HSGPoc_RightCirR1,AssSPK_HSGPoc_RightCirR2,AssSPK_HSGPoc_Length1,AssSPK_HSGPoc_Length2,AssSPK_HSGPoc_Width1,AssSPK_HSGPoc_Width2,AssCHG_HSGPoint_Up1,AssCHG_HSGPoint_Up2,AssCHG_HSGPoint_Down1,AssCHG_HSGPoint_Down2,AssCHG_HSG_Angle1,AssCHG_HSG_Angle2,AssCHG_CHGPos_X1,AssCHG_CHGPos_X2,AssCHG_CHGPos_Y1,AssCHG_CHGPos_Y2,AssCHG_CHGAngle1,AssCHG_CHGAngle2,AssCHG_CHGPoc_Diameter1,AssCHG_CHGPoc_Diameter2,Pick_Up_X_Max,Pick_Up_X_Min,Pick_Up_Y_Max,Pick_Up_Y_Min,Pick_Up_Angle_Max,Pick_Up_Angle_Min,Install_Down_X_Max,Install_Down_X_Min,Install_Down_Y_Max,Install_Down_Y_Min,Install_Down_Angle_Max,Install_Down_Angle_Min,Install_Up_X_Max,Install_Up_X_Min,Install_Up_Y_Max,Install_Up_Y_Min,Install_Up_Angle_Max,Install_Up_Angle_Min,Circle1Radius_Max,Circle1Radius_Min,Circle2Radius_Max,Circle2Radius_Min,CircleDis_Max,CircleDis_Min,CircleDis12_Max,CircleDis12_Min,CircleDis23_Max,CircleDis23_Min,CircleDis34_Max,CircleDis34_Min,CircleDis41_Max,CircleDis41_Min,CircleAngle12_Max,CircleAngle12_Min,CircleAngle23_Max,CircleAngle23_Min,CircleAngle34_Max,CircleAngle34_Min,CircleAngle41_Max,CircleAngle41_Min,CircleRadius1_Max,CircleRadius1_Min,CircleRadius2_Max,CircleRadius2_Min,CircleRadius3_Max,CircleRadius3_Min,CircleRadius4_Max,CircleRadius4_Min,4_Screw_AngleMax,2_Screw_AngleMax,1_Screw_AngleM
2025-07-01 08:32:13 360,F9W007792810000X7U,CTHHGQ110500000HE6+7C8P34AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-17,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.63,7.91,11.01,0.172,988.2,0.0816,625.86,1261.44,0.0774,0.0,0.34395,820.8,0.04655,627.48,1094.04,0.0456,0.0,0.34325,1116.18,0.0329,419.04,1389.42,0.02005,0.0,0.34405,48.6,1036.8,0.0,10475.475,-169869.02,-6.795,9449.511,-181655.13,1.285,19160.851,4226.272,10238.247,-171709.62,-0.046,17966.318,4574.429,3350.299,1133.659,83.62,6329.849,-269.778,0,3647.355,2649.171,-6622.029,0,3295.719,8.257503,5.561798,1032.665,218461.83,-231307.1,0.338,,,,1.587,1.581,1.544,1.544,0.353,0.354,452-10383-0A009,452-10820-0A004,BBW-G08av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-07-01 08:33:16 809,F9W007741100000X7U,CTHHGQ1112Z0000HE6+7DUR32AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-11,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-2,4,1,19.62,7.85,11.49,0.17165,496.26,0.20555,629.64,768.96,0.17165,0.0,0.3441,1122.66,0.05495,624.24,1395.9,0.05475,0.0,0.3438,1020.6,0.07405,622.62,1293.84,0.074,0.0,0.3433,345.06,841.32,0.0,10508.066,-169875.08,-6.904,9459.396,-181652.19,1.37,19137.847,4211.345,10222.765,-171781.84,-0.088,17920.711,4590.681,3364.078,1076.909,83.951,6380.44,-208.315,0,3620.218,2603.797,-6665.304,0,3273.974,7.796639,4.855593,1457.189,218493.52,-231362.7,0.327,,,,1.553,1.551,1.569,1.564,0.351,0.348,452-10383-0A009,452-10820-0A004,BBW-G08av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-07-01 08:56:44 091,HVWHJ00003E0000X7T,DTVHGM141SR0000HE6+756893AGFSP,JS-LA5-HM13-L1-LEAD-H1-LG-14,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.59,7.85,12.48,0.17175,999.0,0.04265,563.76,1271.7,0.0411,0.0,0.3433,803.52,0.02835,625.32,1076.22,0.0278,0.0,0.3433,966.06,0.0378,-198.72,1238.76,0.02885,0.0,0.34375,46.44,1045.44,0.0,10459.671,-169890.5,-7.228,9454.215,-181680.88,1.352,19159.161,4204.652,10238.577,-171816.52,-0.069,17941.599,4422.403,3406.184,1229.789,84.799,6277.665,-223.524,0,3682.768,2723.782,-6658.027,0,3250.918,7.599125,4.773475,2268.718,218554.94,-231334.2,0.627,,,,1.49,1.492,1.46,1.458,0.334,0.328,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 08:57:48 076,HVWHJ0000150000X7T,DTVHGM142ME0000HE6+764843AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-37,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-2,4,1,19.49,7.84,12.46,0.1717,1092.42,0.0466,-154.44,1365.12,0.042,0.0,0.34335,921.78,0.0307,602.64,1194.48,0.0271,0.0,0.34365,1030.32,0.0415,-200.34,1303.56,0.02925,0.0,0.34395,51.84,1144.26,0.0,10500.906,-169954.48,-7.205,9432.819,-181694.31,1.424,19164.764,4270.085,10243.615,-171814.62,-0.084,17972.752,4420.532,3334.995,1181.438,83.943,6266.323,-201.713,0,3715.193,2733.842,-6737.981,0,3266.54,8.343092,4.305409,1952.334,218546.78,-231344.4,0.192,,,,1.588,1.585,1.494,1.491,0.344,0.345,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 08:58:50 401,HVWHJ00002Q0000X7T,DTVHGM132EB0000HE6+721543AGFCP,JS-LA5-HM13-L1-LEAD-H1-LG-06,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.61,7.85,12.23,0.17185,900.18,0.0424,547.56,1173.42,0.03655,0.0,0.3442,899.1,0.0439,602.1,1171.8,0.0406,0.0,0.3436,937.44,0.03955,512.46,1210.14,0.02795,0.0,0.3436,43.2,943.38,0.0,10397.164,-169931.74,-7.075,9480.29,-181656.53,1.444,19167.739,4283.464,10192.605,-171841.87,-0.165,17955.1,4433.605,3280.173,1170.306,83.036,6316.243,-236.494,0,3684.09,2715.695,-6673.572,0,3299.091,8.119244,4.360838,1885.387,218547.67,-231359.6,0.595,,,,1.511,1.503,1.521,1.517,0.342,0.341,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 08:59:54 142,HVWHJ00003C0000X7T,DTVHGM141PL0000HE6+722442AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-13,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-2,4,1,19.49,7.92,12.51,0.1721,835.92,0.0323,401.76,1109.16,0.0241,0.0,0.34345,1030.86,0.04945,-115.56,1303.56,0.0293,0.0,0.34325,869.4,0.03205,457.38,1142.1,0.0226,0.0,0.3434,43.2,879.12,0.0,10539.467,-169885.27,-7.008,9472.314,-181671.35,1.543,19204.414,4232.069,10227.874,-171820.59,-0.158,17951.791,4421.069,3351.548,1192.765,83.819,6322.742,-240.559,0,3698.364,2664.91,-6640.893,0,3299.584,8.167525,4.254086,2190.874,218566.89,-231370.7,0.672,,,,1.518,1.509,1.541,1.543,0.328,0.328,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 09:01:32 202,HVWHJ0000160000X7T,DTVHGM143U70000HE6+779342AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-17,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.48,7.8,12.72,0.17165,1080.0,0.0527,552.42,1352.7,0.04765,0.0,0.3435,898.56,0.0419,583.74,1171.8,0.038,0.0,0.34355,836.46,0.03745,609.66,1109.7,0.0351,0.0,0.34375,59.4,1139.4,0.0,10556.952,-169979.77,-6.808,9491.152,-181676.52,1.093,19165.225,4218.783,10272.785,-171812.47,-0.047,17978.988,4431.91,3378.661,1123.017,83.246,6308.82,-235.513,0,3691.426,2679.561,-6632.12,0,3279.444,7.592541,4.603083,2960.089,218560.57,-231311.9,0.384,,,,1.582,1.572,1.563,1.557,0.347,0.344,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 09:03:52 249,HVWHJ00002C0000X7T,DTVHGM141A50000HE6+735794AGFSP,JS-LA5-HM13-L1-LEAD-H1-LG-11,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.45,7.86,12.86,0.172,866.16,0.04115,576.18,1139.94,0.03695,0.0,0.3441,939.06,0.034,622.08,1212.3,0.03345,0.0,0.34365,1163.7,0.06695,-185.76,1436.4,0.0233,0.0,0.34325,55.08,921.24,0.0,10333.103,-170073.05,-7.12,9467.631,-181726.08,1.314,19125.751,4223.714,10224.687,-171804.1,-0.069,17948.81,4432.478,3386.075,1215.786,84.358,6318.162,-213.343,0,3716.581,2699.092,-6632.041,0,3264.645,7.46306,3.596174,2025.24,218533.5,-231352.1,0.671,,,,1.572,1.579,1.565,1.562,0.338,0.334,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 09:04:54 463,HVWHJ0000210000X7T,DTVHGM143WA0000HE6+721994AGFCP,JS-LA5-HM13-L1-LEAD-H1-LG-14,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-2,4,1,19.7,7.85,12.22,0.17175,827.28,0.0492,437.4,1101.06,0.03895,0.0,0.34335,1017.36,0.04385,-162.0,1290.06,0.0328,0.0,0.34335,1072.44,0.07325,-98.82,1345.14,0.02595,0.0,0.34345,50.22,877.5,0.0,10488.926,-170060.15,-6.882,9466.382,-181700.23,1.363,19183.923,4219.547,10215.856,-171797.79,-0.133,17923.174,4424.119,3371.313,1166.341,83.419,6319.515,-232.19,0,3679.195,2680.124,-6683.625,0,3278.181,7.715438,3.559957,1800.746,218526.11,-231362.1,0.513,,,,1.573,1.569,1.545,1.545,0.335,0.332,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
2025-07-01 09:05:57 790,HVWHJ00002Z0000X7T,DTVHGM131GD0000HE6+764743AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-37,4-2-1-4,OK,OK,OK,OK,S2-1,2,1,S4-1-3,4,1,19.41,7.88,11.57,0.17215,1110.78,0.0401,9.72,1383.48,0.0238,0.0,0.3436,821.88,0.0516,622.08,1095.66,0.04985,0.0,0.34335,1111.86,0.0862,-78.3,1384.56,0.0262,0.0,0.34365,43.2,1153.98,0.0,10580.899,-170200.55,-7.034,9487.018,-181646.86,1.275,19170.75,4286.602,10245.7,-171762.42,-0.133,17952.988,4414.309,3328.629,1170.772,84.386,6310.227,-244.532,0,3692.205,2680.606,-6667.202,0,3305.535,8.009514,3.951957,2286.815,218528.27,-231327.7,0.461,,,,1.574,1.571,1.492,1.49,0.329,0.329,452-10383-0A008,452-10820-0A004,LBW-G81av-f,1,,20800,20000,11200,10000,-169000,-171200,-5,-9,10300,2000,7300,700,97,78,0,0,0,0,9999999,-9999,2550,1500,2500,1500,4,-2,180,-180,3750,2750,6700,5500,300,0,300,0,11500,9800,8501,-179500,-182500,3,-3,15300,14000,2750,1700,2750,1700,19700,18600,4700,3700,11000,9700,313900,-210000,1,-1,15100,14050,3000,1600,3000,1600,20000,17000,5000,4000,2200,1200,2200,1200,180,-170,13550,-6500,8300,-900,94,86,4200,3200,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,2680.0,2480.0,20990.0,20790.0,2680.0,2480.0,20990.0,20790.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,3.0,3.0,3.0
