Time,HsgSn,SPK_SN,Board_SN,mode,4_HalfAtlasResult,2_FullAtlasResult,1_FullAtlasResult,4_FullAtlasResult,S2S3InstallPTid,S2S3AssyStation,S2S3AssyPlatformId,Lock_PlatformId,LockScrewStation,LockScrewPlatformId,MaxPressSPKData,MaxPressCHGData,BracketMaxPress,SPK Screw 4_Half FinalTorque,SPK Screw 4_Half FinalAngle,SPK Screw 4 PrevailingTorqueMax,SPK Screw 4 PrevailingTorqueMaxAngle,SPK Screw 4_Half RealAngle,SPK Screw 4_Half TorqueAt630,SPK Screw 4_Half Prev torque retest logic,KC Screw 2_Full FinalTorque,KC Screw 2_Full FinalAngle,KC Screw 2_Full PrevailingTorqueMax,KC Screw 2_Full PrevailingTorqueMaxAngle,KC Screw 2_Full RealAngle,KC Screw 2_Full TorqueAt630,KC Screw 2_Full Prev torque retest logic,KC Screw 1_Full FinalTorque,KC Screw 1_Full FinalAngle,KC Screw 1_Full PrevailingTorqueMax,KC Screw 1_Full PrevailingTorqueMaxAngle,KC Screw 1_Full RealAngle,KC Screw 1_Full TorqueAt630,KC Screw 1_Full Prev torque retest logic,SPK Screw 4_Full FinalTorque,SPK Screw 4_Full FinalAngle,SPK Screw 4_FULL TotalAngle,SPK Screw 4_FULL Prev torque retest logic,SPK_Pick_X,SPK_Pick_Y,SPK_Pick_R,SPK_Down_X,SPK_Down_Y,SPK_Down_R,SPK_Length,SPK_Width,HSG_Up_X,HSG_Up_Y,HSG_Up_R,HSGPoc_Length,HSGPoc_Width,CHG_Pick_X,CHG_Pick_Y,CHG_Pick_R,CHG_Up_X,CHG_Up_Y,CHG_Up_R,Assy_CHGPoc_Diameter,CHG_Down_X,CHG_Down_Y,CHG_Down_R,Rotate_CHGPoc_Diameter,PickSpkPress,PickChgPress,Cap_Diameter,Bracket_X,Bracket_Y,Bracket_R,CHG_Angle,Bracket_Angle,Recheck_Bracket_Angle,1_Screw 0D nylock area,1_Screw 90D nylock area,2_Screw 0D nylock area,2_Screw 90D nylock area,4_Screw 0D nylock area,4_Screw 90D nylock area,spk_Screw_Ipn,crowling_Screw_Ipn,configName,LastResult,ImagePath,SPKCirclePointLimitUp,SPKCirclePointLimitDown,SPKPosX1,SPKPosX2,SPKPosY1,SPKPosY2,SPKAngle1,SPKAngle2,CHGPosX1,CHGPosX2,CHGPosY1,CHGPosY2,CHGAngle1,CHGAngle2,SPKCirclePointDis1,SPKCirclePointDis2,SPK_CHG_Angle1,SPK_CHG_Angle2,Have_Ornot_O-ring1,Have_Ornot_O-ring2,SPKCirToLineUp1,SPKCirToLineUp2,SPKCirToLineDown1,SPKCirToLineDown2,Up_Dn_Line_Angle1,Up_Dn_Line_Angle2,Span_CHGAngle1,Span_CHGAngle2,Span_CHG_Diameter1,Span_CHG_Diameter2,Span_CHG_Pos1,Span_CHG_Pos2,Span_CHG_Del_X1,Span_CHG_Del_X2,Span_CHG_Del_Y1,Span_CHG_Del_Y2,Cap_Variance,SPK_DnCCD_SPKPosX1,SPK_DnCCD_SPKPosX2,SPK_DnCCD_SPKPosY1,SPK_DnCCD_SPKPosY2,SPK_DnCCD_SPKAngle1,SPK_DnCCD_SPKAngle2,SPK_DnCCD_SPKCirPoint1,SPK_DnCCD_SPKCirPoint2,SPK_DnCCD_LeftCirR1,SPK_DnCCD_LeftCirR2,SPK_DnCCD_RightCirR1,SPK_DnCCD_RightCirR2,SPK_DnCCD_SPKLength1,SPK_DnCCD_SPKLength2,SPK_DnCCD_SPKWidth1,SPK_DnCCD_SPKWidth2,AssSPK_HSGPoc_X1,AssSPK_HSGPoc_X2,AssSPK_HSGPoc_Y1,AssSPK_HSGPoc_Y2,AssSPK_HSGPoc_Angle1,AssSPK_HSGPoc_Angle2,AssSPK_HSGPoc_CirDis1,AssSPK_HSGPoc_CirDis2,AssSPK_HSGPoc_LeftCirR1,AssSPK_HSGPoc_LeftCirR2,AssSPK_HSGPoc_RightCirR1,AssSPK_HSGPoc_RightCirR2,AssSPK_HSGPoc_Length1,AssSPK_HSGPoc_Length2,AssSPK_HSGPoc_Width1,AssSPK_HSGPoc_Width2,AssCHG_HSGPoint_Up1,AssCHG_HSGPoint_Up2,AssCHG_HSGPoint_Down1,AssCHG_HSGPoint_Down2,AssCHG_HSG_Angle1,AssCHG_HSG_Angle2,AssCHG_CHGPos_X1,AssCHG_CHGPos_X2,AssCHG_CHGPos_Y1,AssCHG_CHGPos_Y2,AssCHG_CHGAngle1,AssCHG_CHGAngle2,AssCHG_CHGPoc_Diameter1,AssCHG_CHGPoc_Diameter2,Pick_Up_X_Max,Pick_Up_X_Min,Pick_Up_Y_Max,Pick_Up_Y_Min,Pick_Up_Angle_Max,Pick_Up_Angle_Min,Install_Down_X_Max,Install_Down_X_Min,Install_Down_Y_Max,Install_Down_Y_Min,Install_Down_Angle_Max,Install_Down_Angle_Min,Install_Up_X_Max,Install_Up_X_Min,Install_Up_Y_Max,Install_Up_Y_Min,Install_Up_Angle_Max,Install_Up_Angle_Min,Circle1Radius_Max,Circle1Radius_Min,Circle2Radius_Max,Circle2Radius_Min,CircleDis_Max,CircleDis_Min,CircleDis12_Max,CircleDis12_Min,CircleDis23_Max,CircleDis23_Min,CircleDis34_Max,CircleDis34_Min,CircleDis41_Max,CircleDis41_Min,CircleAngle12_Max,CircleAngle12_Min,CircleAngle23_Max,CircleAngle23_Min,CircleAngle34_Max,CircleAngle34_Min,CircleAngle41_Max,CircleAngle41_Min,CircleRadius1_Max,CircleRadius1_Min,CircleRadius2_Max,CircleRadius2_Min,CircleRadius3_Max,CircleRadius3_Min,CircleRadius4_Max,CircleRadius4_Min,4_Screw_AngleMax,2_Screw_AngleMax,1_Screw_AngleM
2025-06-17 01:03:09 463,HVWHHK0004E0000X45,DTVHGM1326L0000HE6+760691AGFSP,JS-LA5-HM13-L1-LEAD-H1-LG-37,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.73,7.98,11.9,0.1723,699.3,0.06655,628.02,973.08,0.06655,0.0,0.3433,709.56,0.12315,629.1,982.8,0.12315,0.0,0.34325,719.28,0.0734,628.02,992.52,0.0734,0.0,0.3435,45.9,745.2,0.0,10542.957,-170043.81,-7.115,9459.828,-181666.97,1.44,19196.399,4238.576,10283.344,-171705.94,0.027,17981.693,4390.299,3357.806,1122.421,83.744,6330.556,-214.172,0.0,3738.234,2693.241,-6665.08,0.0,3283.629,8.492325,4.555866,2142.886,218513.81,-231291.5,0.386,,,,1.506,1.502,1.516,1.521,0.342,0.345,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 01:06:28 793,HVWHHK0002L0000X45,DTVHGM144100000HE6+713493AGFCP,JS-LA5-HM13-L1-LEAD-H1-LG-06,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.69,7.92,11.86,0.17215,851.04,0.04565,612.9,1123.74,0.04415,0.0,0.34325,767.34,0.0714,613.98,1040.58,0.0669,0.0,0.34415,702.0,0.10435,628.56,975.24,0.10435,0.0,0.3436,89.64,940.68,0.0,10444.113,-169940.3,-6.931,9490.047,-181652.71,1.446,19213.758,4237.457,10284.197,-171690.54,-0.082,17977.96,4394.313,3301.838,1150.208,84.953,6336.311,-232.688,0.0,3736.07,2651.466,-6627.952,0.0,3284.351,8.501103,4.627718,2103.492,218528.25,-231287.6,0.328,,,,1.54,1.536,1.49,1.49,0.337,0.337,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 01:20:40 715,HVWHHK0001A0000X45,DTVHGM141YT0000HE6+735943AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-06,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.73,7.91,11.19,0.1717,689.04,0.0742,629.1,962.28,0.0742,0.0,0.3437,705.24,0.0936,629.1,978.48,0.0936,0.0,0.34385,800.82,0.04135,615.06,1074.06,0.03905,0.0,0.3437,64.26,753.3,0.0,10332.011,-170116.88,-7.366,9491.399,-181687.29,1.349,19147.274,4252.134,10307.607,-171676.72,-0.088,17952.963,4411.248,3310.998,1161.005,83.282,6352.924,-232.478,0.0,3744.955,2655.253,-6634.038,0.0,3253.696,8.349676,4.504543,2223.165,218522.69,-231299.8,0.312,,,,1.475,1.48,1.528,1.53,0.34,0.341,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 01:22:43 961,HVWHHK0000M0000X45,DTVHGM132JV0000HE6+729394AGFAP,JS-LA5-HM13-L1-LEAD-H1-LG-24,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.82,7.98,11.94,0.1718,592.92,0.23785,628.02,866.16,0.1718,0.0,0.34365,576.72,0.34365,576.72,849.96,0.34365,0.0,0.34335,510.3,0.34335,510.3,783.54,0.34335,0.0,0.34385,110.7,703.62,0.0,10538.302,-170188.82,-6.967,9488.821,-181681.15,1.297,19131.818,4215.947,10319.843,-171685.78,-0.018,17977.558,4402.933,3325.133,1128.895,83.262,6353.241,-242.651,0.0,3741.991,2666.37,-6663.345,0.0,3273.737,8.079741,4.091906,2026.33,218518.26,-231272.7,0.428,,,,1.541,1.541,1.518,1.525,0.34,0.335,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 01:33:48 693,HVWHHK0001B0000X45,DTVHGM142U90000HE6+717243AGFBP,JS-LA5-HM13-L1-LEAD-H1-LG-06,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.62,7.89,11.72,0.17255,926.64,0.0381,487.62,1199.88,0.0344,0.0,0.34325,807.3,0.0259,627.48,1080.54,0.0259,0.0,0.34385,611.28,0.34385,611.28,885.6,0.34385,0.0,0.34355,55.62,982.26,0.0,10445.439,-170015.75,-7.002,9483.417,-181648.32,1.394,19194.122,4284.347,10287.806,-171670.89,-0.136,17947.339,4413.8,3290.8,1125.473,84.189,6355.436,-242.769,0.0,3738.651,2692.862,-6603.273,0.0,3269.676,8.209222,4.395738,2190.297,218519.34,-231310.5,0.437,,,,1.484,1.487,1.503,1.502,0.336,0.337,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 01:42:28 922,HVWHHK0003D0000X45,DTVHGM132DV0000HE6+739591AGFCP,JS-LA5-HM13-L1-LEAD-H1-LG-24,4-2-1-4,OK,OK,OK,OK,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.84,7.92,11.9,0.17185,682.02,0.05525,629.64,955.8,0.05525,0.0,0.3439,871.02,0.05685,463.32,1144.26,0.04235,0.0,0.3437,690.66,0.10005,629.64,964.44,0.10005,0.0,0.3435,52.38,734.4,0.0,10341.013,-170143.89,-6.917,9456.097,-181706.91,1.301,19227.309,4217.663,10310.555,-171725.78,0.005,17987.671,4372.768,3267.175,1152.166,85.306,6359.031,-220.544,0.0,3761.431,2664.539,-6584.415,0.0,3288.549,7.583763,3.479,2102.443,218521.46,-231278.9,0.449,,,,1.515,1.524,1.485,1.485,0.338,0.339,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,2000.0,8300.0,-900.0,92.0,80.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-231000.0,-231500.0,4.0,-1.0,450.0,280.0,460.0,280.0,2500.0,2200.0,3250.0,1250.0,21000.0,19500.0,3250.0,1250.0,21000.0,19500.0,-88.0,-95.0,2.0,-2.0,93.0,88.0,2.0,-2.0,700.0,200.0,700.0,200.0,700.0,200.0,700.0,200.0,3.0,3.0,3.0
2025-06-17 02:06:53 976,F9W004255800000X7T,CTHHGQ1113M0000HE6+7CME93AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-24,,,,,,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.7,7.88,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,10373.929,-170126.41,-7.473,9436.366,-181698.88,1.482,19117.419,4224.482,10223.264,-171672.09,-0.081,17910.505,4618.611,3348.197,1129.755,84.277,6336.614,-223.301,0.0,3632.528,2707.076,-6621.174,0.0,3274.554,8.345288,4.325939,1303.6,218520.52,-231324.3,0.247,,,,,,,,,,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,-6500.0,8220.0,-900.0,94.0,86.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,3250.0,2200.0,21000.0,19500.0,3250.0,2200.0,21000.0,19500.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,,,
2025-06-17 02:08:02 586,F9W004468610000X7T,CTHHGQ110640000HE6+7DLD32AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-17,,,,,,S2-1,2.0,1.0,S4-1-3,4.0,1.0,19.84,7.91,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,10405.013,-170036.71,-7.198,9462.66,-181683.05,1.189,19147.128,4233.083,10248.392,-171630.34,-0.073,17904.482,4607.581,3349.405,1062.051,84.284,6364.086,-212.178,0.0,3638.288,2620.542,-6645.316,0.0,3255.842,7.607903,3.657956,1056.099,218496.66,-231306.8,0.257,,,,,,,,,,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,11000.0,9700.0,313900.0,-210000.0,1.0,-1.0,15100.0,14050.0,3000.0,1600.0,3000.0,1600.0,20000.0,17000.0,5000.0,4000.0,2200.0,1200.0,2200.0,1200.0,180.0,-170.0,13500.0,-6500.0,8220.0,-900.0,94.0,86.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,219450.0,217850.0,-230700.0,-234200.0,3.0,-6.5,800.0,250.0,800.0,240.0,2850.0,2200.0,3250.0,2200.0,21000.0,19500.0,3250.0,2200.0,21000.0,19500.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,590.0,200.0,590.0,200.0,590.0,200.0,,,
2025-06-17 02:09:12 751,F9W004385640000X7T,CTHHGQ110YN0000HE6+7C7D72AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-06,,,,,,S2-2,2.0,2.0,S4-2-3,4.0,2.0,19.77,7.9,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,10455.633,-169992.88,-6.872,9481.808,-181641.28,1.216,19170.968,4210.464,12648.137,-173578.48,-0.177,17896.238,4523.419,3352.057,1099.074,85.507,6391.556,-232.158,0.0,3671.499,2656.519,-6485.069,0.0,3289.725,8.714787,4.570236,1070.754,217807.02,-230246.3,0.283,,,,,,,,,,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,13100.0,12200.0,-173000.0,-174600.0,1.0,-1.0,15000.0,14000.0,3000.0,1500.0,3000.0,1500.0,20000.0,17000.0,5000.0,4000.0,2700.0,1600.0,2700.0,1650.0,-2.5,-8.5,11500.0,-7000.0,8000.0,-1400.0,93.0,86.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,220000.0,217500.0,-220000.0,-240500.0,3.0,-5.0,700.0,250.0,700.0,240.0,2700.0,2300.0,3250.0,2200.0,21000.0,19500.0,3250.0,2200.0,21000.0,19500.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,590.0,200.0,550.0,200.0,550.0,200.0,590.0,200.0,,,
2025-06-17 02:11:08 238,F9W004783330000X7T,CTHHGQ111200000HE6+7BKD33AGFDA,JS-LA5-HM13-L1-LEAD-H1-LG-11,,,,,,S2-2,2.0,2.0,S4-2-3,4.0,2.0,19.81,8.02,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,10473.291,-169843.3,-6.6,9464.115,-181661.24,1.147,19148.789,4228.422,12605.85,-173581.58,-0.221,17900.682,4600.164,3303.614,1128.78,85.447,6408.389,-241.401,0.0,3669.586,2606.835,-6504.205,0.0,3279.888,8.492325,4.498384,1006.981,217776.96,-230360.1,0.229,,,,,,,,,,452-10383-0A008,452-10820-0A004,GBZ-WD75av-f,1,,20800.0,20000.0,11200.0,10000.0,-169000.0,-171200.0,-5.0,-9.0,10300.0,2000.0,7300.0,700.0,97.0,78.0,0.0,0.0,0.0,0.0,9999999.0,-9999.0,2550.0,1500.0,2500.0,1500.0,4.0,-2.0,180.0,-180.0,3750.0,2750.0,6700.0,5500.0,300.0,0.0,350.0,0.0,11500.0,9800.0,8501.0,-179500.0,-182500.0,3.0,-3.0,15300.0,14000.0,2750.0,1700.0,2750.0,1700.0,19700.0,18600.0,4700.0,3700.0,13100.0,12200.0,-173000.0,-174600.0,1.0,-1.0,15000.0,14000.0,3000.0,1500.0,3000.0,1500.0,20000.0,17000.0,5000.0,4000.0,2700.0,1600.0,2700.0,1650.0,-2.5,-8.5,11500.0,-7000.0,8000.0,-1400.0,93.0,86.0,4200.0,3200.0,224200.0,218000.0,-233700.0,-239850.0,10.0,-10.0,230000.0,219600.0,-235000.0,-238000.0,5.0,-4.0,220000.0,217500.0,-220000.0,-240500.0,3.0,-5.0,700.0,250.0,700.0,240.0,2700.0,2300.0,3250.0,2200.0,21000.0,19500.0,3250.0,2200.0,21000.0,19500.0,-88.0,-92.0,2.0,-2.0,93.0,88.0,2.0,-2.0,610.0,200.0,550.0,200.0,550.0,200.0,590.0,200.0,,,
