开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/16 8:07:40,2025/6/16 8:07:40,F01ESSE-01-03,Emergency stop alarm,设备急停报警,Safety Error,0.21,S4
2025/6/16 8:30:55,2025/6/16 8:30:56,N03IPPO-79-03,PC Communication Abnormality,上位机通讯异常,Software Error,1.28,S2
2025/6/16 8:32:47,2025/6/16 8:33:01,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,14,S2
2025/6/16 8:33:02,2025/6/16 8:34:11,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,69.13,S2
2025/6/16 9:38:05,2025/6/16 9:38:06,M99EEDE-10-03,Platform 1X-axis alarm,平台1X轴报警,Motion Error,0.86,S4
2025/6/16 9:59:59,2025/6/16 10:00:42,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,42.83,S2
2025/6/16 10:10:17,2025/6/16 10:10:42,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,25.11,S2
2025/6/16 10:42:12,2025/6/16 10:44:35,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,142.47,S2
2025/6/16 10:56:27,2025/6/16 10:57:33,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,66.08,S2
2025/6/16 11:02:50,2025/6/16 11:03:30,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,39.19,S4
2025/6/16 11:10:44,2025/6/16 11:11:04,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,19.84,S2
2025/6/16 11:17:01,2025/6/16 11:17:45,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,44.36,S2
2025/6/16 13:46:05,2025/6/16 13:47:19,V02VSDV-115-03,Pop up: Platform 1 group Bracket on the camera to take a photo NG!,弹窗:平台1组Bracket上相机拍照NG!,Vision Error,73.75,S4
2025/6/16 14:13:21,2025/6/16 14:13:53,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,31.86,S4
2025/6/16 14:16:15,2025/6/16 14:16:44,C02PNCY-40-03,Main line jacking up 3Carrier press open cylinder alarm,主流线顶升3Carrier 压料打开气缸报警,Cylinder Error,29.65,S4
2025/6/16 15:17:30,2025/6/16 15:17:30,V03VSDV-108-03,CCD1 communication connection abnormality,CCD1通讯连接异常,Vision Error,0.49,S4
2025/6/16 15:14:56,2025/6/16 15:16:42,V03VSDV-64-03,CCD1 SPK Assembly Connect Failed,CCD1-SPK组装-连接失败,Vision Error,106.95,S2
2025/6/16 15:17:35,2025/6/16 15:19:29,V03VSDV-108-03,CCD1 communication connection abnormality,CCD1通讯连接异常,Vision Error,113.88,S4
2025/6/16 21:33:07,2025/6/16 21:33:52,V01VSDV-126-03,Popup:Picking Up SPK Top Photography Failed,弹窗:取SPK上相机拍照失败,Vision Error,44.48,S2
2025/6/16 22:00:48,2025/6/16 22:01:02,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,14.4,S4
2025/6/16 22:01:04,2025/6/16 22:02:50,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,106.69,S4
2025/6/16 22:32:59,2025/6/16 22:33:08,C02PNCY-45-03,Positioning platform 1Carrier rotary clamping cylinder alarm,定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,8.45,S4
2025/6/16 22:33:57,2025/6/16 22:34:20,C02PNCY-45-03,Positioning platform 1Carrier rotary clamping cylinder alarm,定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,23.57,S4
