Angle,Torque
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-1.08,0
-1.62,0
-2.7,0
-3.24,0
-4.32,0
-5.94,0
-7.56,0
-9.18,0
-10.8,-0.00525
-12.96,-0.0126
-15.12,-0.01695
-17.28,-0.0166
-19.44,-0.0156
-21.6,-0.0147
-23.76,-0.01715
-25.92,-0.01975
-27.54,-0.02255
-29.7,-0.0264
-31.86,-0.0286
-34.02,-0.02775
-36.18,-0.0277
-38.88,-0.0272
-41.04,-0.02255
-43.2,-0.0189
-45.36,-0.01825
-47.52,-0.02205
-49.68,-0.0237
-51.84,-0.02395
-54,-0.0241
-56.7,-0.02575
-58.86,-0.02525
-61.02,-0.0212
-63.18,-0.02135
-65.88,-0.01905
-68.04,-0.0178
-70.2,-0.0182
-72.36,-0.01795
-75.06,-0.02
-77.22,-0.02025
-79.38,-0.0211
-81.54,-0.02215
-84.24,-0.0213
-86.4,-0.01935
-88.56,-0.0184
-91.26,-0.01805
-93.42,-0.0195
-95.58,-0.0215
-97.74,-0.0214
-99.9,-0.0177
-102.6,-0.01675
-105.3,-0.0152
-107.46,-0.0107
-110.16,-0.00865
-112.32,-0.00445
-115.02,-0.00515
-117.18,-0.00555
-119.88,-0.0068
-122.04,-0.009
-124.2,-0.00915
-126.9,-0.01185
-129.06,-0.01175
-131.22,-0.0116
-133.92,-0.01025
-136.08,-0.00985
-138.24,-0.0115
-140.4,-0.01585
-143.1,-0.01795
-145.26,-0.0204
-146.88,-0.0255
-149.04,-0.0264
-151.2,-0.0286
-153.36,-0.02945
-155.52,-0.02975
-157.68,-0.02705
-159.84,-0.02655
-162.54,-0.02645
-164.16,-0.0273
-166.32,-0.02815
-168.48,-0.0282
-170.64,-0.03005
-173.34,-0.03085
-175.5,-0.0306
-177.66,-0.02725
-179.82,-0.0281
-181.98,-0.02875
-184.14,-0.02805
-186.3,-0.02885
-189,-0.02875
-191.16,-0.0293
-193.32,-0.0305
-195.48,-0.0306
-197.64,-0.0306
-199.8,-0.03145
-202.5,-0.02935
-204.66,-0.0244
-207.36,-0.01845
-209.52,-0.0149
-212.22,-0.01535
-214.38,-0.01505
-216.54,-0.0178
-219.24,-0.02025
-221.4,-0.02305
-224.1,-0.0244
-226.26,-0.02465
-228.42,-0.0238
-230.58,-0.02435
-232.74,-0.0234
-235.44,-0.0205
-237.6,-0.0201
-239.76,-0.01995
-242.46,-0.0208
-244.62,-0.0224
-246.78,-0.02425
-248.94,-0.02515
-251.64,-0.0261
-253.8,-0.02535
-255.96,-0.0238
-258.12,-0.02495
-260.28,-0.0248
-262.98,-0.024
-265.14,-0.0258
-267.3,-0.02575
-269.46,-0.0246
