Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-3.78,0
-4.32,0
-4.32,0
-4.32,0
-4.86,0
-4.86,0
-4.86,0
-5.4,0
-5.4,0
-5.4,0
-5.94,0
-5.94,0
-6.48,0
-6.48,0
-6.48,0
-7.02,0
-7.02,0
-7.56,0
-7.56,0
-7.56,0
-8.1,0
-8.1,0
-8.64,0
-8.64,0
-8.64,0
-9.18,0
-9.18,0
-9.72,0
-9.72,0
-10.26,0
-10.26,0
-10.8,0
-10.8,0
-11.34,0
-11.88,0
-11.88,0
-12.42,0
-12.42,0
-12.96,0
-12.96,0
-13.5,0
-13.5,0
-14.04,0
-14.04,0
-14.58,0
-14.58,0
-15.12,0
-15.12,0
-15.66,0
-15.66,0
-16.2,0
-16.74,0
-16.74,0
-17.28,0
-17.28,0
-17.82,0
-17.82,0
-18.36,0
-18.36,0
-18.9,0
-19.44,0
-19.44,0
-19.98,0
-19.98,0
-20.52,0
-21.06,0
-21.06,0
-21.6,0
-22.14,0
-22.14,0
-22.68,0
-23.22,0
-23.22,0
-23.76,0
-24.3,0
-24.3,0
-24.84,0
-25.38,0
-25.92,0
-25.92,0
-26.46,0
-27,0
-27,0
-27.54,0
-28.08,0
-28.08,0
-28.62,0
-29.16,0
-29.16,0
-29.7,0
-29.7,0
-30.24,0
-30.78,0
-30.78,0
-31.32,0
-31.32,0
-31.86,0
-31.86,0
-32.4,-0.0027
-32.4,-0.0064
-32.4,-0.0096
-32.94,-0.01235
-32.94,-0.01575
-33.48,-0.0183
-33.48,-0.0207
-34.02,-0.02285
-34.02,-0.0244
-34.56,-0.02535
-34.56,-0.0255
-34.56,-0.026
-35.1,-0.02625
