Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-3.78,0
-5.4,0
-7.02,0
-8.64,0
-10.26,-0.0045
-12.42,-0.0113
-14.58,-0.0131
-16.74,-0.013
-18.9,-0.0128
-21.6,-0.01295
-23.76,-0.0161
-25.92,-0.01925
-27.54,-0.02075
-29.7,-0.0237
-31.86,-0.02495
-34.02,-0.02485
-36.72,-0.02405
-38.88,-0.02375
-41.04,-0.0201
-43.2,-0.0165
-45.9,-0.0169
-48.06,-0.0181
-50.22,-0.02025
-52.38,-0.02195
-54.54,-0.02075
-56.7,-0.021
-59.4,-0.0211
-61.56,-0.0192
-63.72,-0.0191
-66.42,-0.01775
-68.58,-0.01605
-70.74,-0.0181
-72.9,-0.01845
-75.6,-0.0212
-77.22,-0.0229
-79.92,-0.023
-82.08,-0.0217
-84.24,-0.02045
-86.94,-0.02045
-89.1,-0.01935
-91.26,-0.02015
-93.42,-0.0197
-95.58,-0.0221
-97.74,-0.0219
-100.44,-0.0216
-102.6,-0.0226
-104.76,-0.023
-107.46,-0.021
-109.62,-0.0199
-111.78,-0.0191
-113.94,-0.01965
-116.64,-0.0207
-118.8,-0.02075
-120.96,-0.02045
-123.12,-0.02055
-125.82,-0.02
-127.98,-0.0197
-130.14,-0.02085
-132.3,-0.0196
-135,-0.0176
-137.16,-0.0168
-139.86,-0.01705
-142.02,-0.0191
-144.18,-0.0194
-146.34,-0.0179
-148.5,-0.01795
-151.2,-0.01845
-153.36,-0.0182
-156.06,-0.01875
-158.22,-0.01805
-160.38,-0.01955
-162.54,-0.0202
-164.7,-0.0202
-167.4,-0.0191
-169.56,-0.0201
-171.72,-0.01965
-173.88,-0.02105
-176.58,-0.0229
-178.74,-0.02285
-180.9,-0.0227
-183.06,-0.02155
-185.22,-0.02295
-187.38,-0.0237
-190.08,-0.02475
-192.24,-0.0258
-194.4,-0.02655
-196.56,-0.026
-198.72,-0.02505
-200.88,-0.02505
-203.58,-0.02485
-205.74,-0.0269
-207.9,-0.0273
-210.06,-0.02695
-212.22,-0.0262
-214.38,-0.0265
-216.54,-0.02645
-218.7,-0.02895
-221.4,-0.03
-223.56,-0.02925
-225.72,-0.027
-228.42,-0.02825
-230.58,-0.0279
-232.74,-0.02915
-234.9,-0.0291
-237.06,-0.02645
-239.22,-0.0273
-241.38,-0.02855
-244.08,-0.02805
-246.24,-0.02875
-248.4,-0.02845
-250.56,-0.027
-253.26,-0.0265
-255.42,-0.0255
-258.12,-0.0219
-260.28,-0.01705
-262.98,-0.0135
-265.14,-0.01355
-267.84,-0.0139
-270,-0.0129
-272.16,-0.01255
