Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.94,0
-7.56,0
-9.18,-0.00125
-10.8,-0.00715
-12.96,-0.0125
-14.58,-0.0161
-16.74,-0.0165
-18.9,-0.01655
-21.06,-0.01765
-23.22,-0.0196
-25.38,-0.0214
-27.54,-0.0239
-29.7,-0.02575
-31.86,-0.02865
-34.02,-0.0295
-36.18,-0.02845
-38.34,-0.02485
-41.04,-0.02115
-43.2,-0.01955
-45.36,-0.01845
-47.52,-0.019
-49.68,-0.0192
-52.38,-0.01965
-54.54,-0.01815
-56.7,-0.014
-59.4,-0.0146
-61.56,-0.01375
-64.26,-0.0112
-66.42,-0.01155
-68.58,-0.0119
-71.28,-0.0131
-73.44,-0.0145
-75.6,-0.0175
-77.76,-0.01955
-80.46,-0.01915
-82.62,-0.01675
-84.78,-0.015
-87.48,-0.01525
-89.64,-0.0143
-91.8,-0.01475
-93.96,-0.01445
-96.12,-0.0137
-98.82,-0.0149
-100.98,-0.01535
-103.68,-0.0157
-105.84,-0.01545
-108,-0.0141
-110.7,-0.0135
-112.86,-0.01375
-115.02,-0.01175
-117.18,-0.0133
-119.34,-0.01345
-122.04,-0.0149
-124.2,-0.01595
-126.9,-0.0164
-129.06,-0.014
-131.22,-0.01285
-133.38,-0.0125
-136.08,-0.01355
-138.24,-0.01405
-140.4,-0.01405
-142.56,-0.01495
-145.26,-0.0159
-147.42,-0.01525
-149.58,-0.01405
-151.74,-0.0145
-154.44,-0.01395
-156.6,-0.01375
-158.76,-0.0131
-161.46,-0.012
-163.62,-0.01285
-165.78,-0.0129
-167.94,-0.01215
-170.64,-0.0138
-172.8,-0.01355
-174.96,-0.0122
-177.66,-0.0129
-179.82,-0.0128
-181.98,-0.01165
-184.14,-0.0124
-186.84,-0.01225
-189,-0.0118
-191.16,-0.01405
-193.86,-0.0136
-196.02,-0.013
-198.18,-0.01335
-200.34,-0.01395
-202.5,-0.016
-205.2,-0.01605
-207.36,-0.0134
-209.52,-0.01465
-211.68,-0.0145
-213.84,-0.01405
-216.54,-0.01405
-218.7,-0.01405
-221.4,-0.0138
-223.56,-0.0148
-225.72,-0.01475
-227.88,-0.01545
-230.04,-0.0157
-232.2,-0.0169
-234.36,-0.0194
-237.06,-0.0203
-239.22,-0.0187
-241.38,-0.0211
-243.54,-0.02085
-246.24,-0.01825
-247.86,-0.02035
-250.56,-0.02035
-252.72,-0.01965
-254.88,-0.0217
-257.04,-0.02175
-259.2,-0.02245
-261.9,-0.0223
-264.06,-0.02195
-266.22,-0.0205
-268.38,-0.0209
-270.54,-0.0177
