Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-3.78,0
-3.78,0
-4.32,0
-4.32,0
-4.32,0
-4.32,0
-4.86,0
-4.86,0
-4.86,0
-5.4,0
-5.4,0
-5.4,0
-5.4,0
-5.94,0
-5.94,0
-5.94,-0.00065
-6.48,-0.00135
-6.48,-0.00215
-6.48,-0.0028
-7.02,-0.00355
-7.02,-0.0038
-7.56,-0.0043
-7.56,-0.005
-7.56,-0.0054
-8.1,-0.00605
-8.1,-0.00655
-8.1,-0.0072
-8.64,-0.00805
-8.64,-0.0087
-8.64,-0.0091
-9.18,-0.0094
-9.18,-0.0103
-9.72,-0.01095
-9.72,-0.0119
-9.72,-0.0128
-10.26,-0.01315
-10.26,-0.0144
-10.8,-0.01485
-10.8,-0.0158
-10.8,-0.01675
-11.34,-0.0177
-11.34,-0.01875
-11.88,-0.02005
-11.88,-0.02135
-12.42,-0.022
-12.42,-0.0232
-12.42,-0.0237
-12.96,-0.02445
-12.96,-0.02495
-13.5,-0.02535
-13.5,-0.0257
-14.04,-0.0261
-14.04,-0.0266
-14.04,-0.0268
-14.58,-0.0275
-14.58,-0.0279
-15.12,-0.0286
-15.12,-0.02945
-15.66,-0.0302
-15.66,-0.03105
-15.66,-0.03165
-16.2,-0.0333
-16.2,-0.0352
-16.74,-0.0374
-16.74,-0.0398
-16.74,-0.0423
-16.74,-0.04505
-17.28,-0.04775
-17.28,-0.0509
-17.28,-0.0539
-17.82,-0.05655
-17.82,-0.05915
-17.82,-0.06175
-18.36,-0.06375
-18.36,-0.0655
-18.36,-0.067
-18.9,-0.06735
-18.9,-0.0685
-18.9,-0.0692
-19.44,-0.06945
-19.44,-0.0699
-19.44,-0.0701
-19.98,-0.0718
