Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-2.7,0
-3.78,0
-5.4,0
-7.02,0
-8.64,0
-10.8,-0.0016
-12.96,-0.0071
-15.12,-0.0104
-17.28,-0.01085
-19.44,-0.0096
-22.14,-0.00875
-24.3,-0.015
-25.92,-0.019
-28.08,-0.0209
-30.24,-0.02485
-32.4,-0.0246
-34.56,-0.0249
-36.72,-0.0249
-38.88,-0.0225
-41.58,-0.01965
-43.2,-0.01855
-45.9,-0.0188
-48.06,-0.0209
-50.22,-0.02455
-52.38,-0.0267
-54.54,-0.02755
-56.7,-0.0282
-58.86,-0.0252
-61.02,-0.0213
-63.72,-0.01945
-65.88,-0.0184
-68.04,-0.01845
-70.74,-0.0171
-72.9,-0.01525
-75.6,-0.0137
-77.76,-0.01335
-79.92,-0.01335
-82.62,-0.0133
-84.78,-0.0134
-86.94,-0.0113
-89.64,-0.01105
-91.8,-0.01115
-94.5,-0.01175
-96.66,-0.0135
-98.82,-0.0138
-101.52,-0.0141
-103.68,-0.0145
-105.84,-0.01465
-108.54,-0.0139
-110.7,-0.0132
-112.86,-0.0113
-115.56,-0.01155
-117.72,-0.01245
-119.88,-0.01225
-122.58,-0.0115
-124.74,-0.0115
-126.9,-0.01205
-129.06,-0.0126
-131.76,-0.01235
-133.92,-0.01055
-136.08,-0.0111
-138.78,-0.0114
-140.94,-0.0117
-143.64,-0.0121
-145.8,-0.0117
-147.96,-0.01205
-150.12,-0.0111
-152.28,-0.0095
-154.98,-0.01045
-157.14,-0.01025
-159.3,-0.0104
-162,-0.0125
-164.16,-0.01275
-166.32,-0.00955
-169.02,-0.0096
-171.18,-0.01145
-173.34,-0.013
-175.5,-0.01335
-178.2,-0.01295
-179.82,-0.0147
-182.52,-0.01545
-184.68,-0.01575
-186.84,-0.0162
-189,-0.01645
-191.7,-0.0173
-193.86,-0.01875
-196.02,-0.0187
-198.18,-0.0183
-200.34,-0.02005
-202.5,-0.0217
-204.66,-0.0216
-206.82,-0.02185
-208.98,-0.0214
-211.68,-0.02135
-213.84,-0.02135
-216,-0.0214
-218.16,-0.0239
-220.32,-0.0245
-222.48,-0.02325
-224.64,-0.023
-226.8,-0.0237
-229.5,-0.02285
-231.66,-0.02205
-233.82,-0.02305
-235.98,-0.02195
-238.14,-0.0229
-240.84,-0.02335
-243,-0.02285
-245.16,-0.0227
-247.32,-0.0226
-249.48,-0.0226
-251.64,-0.02365
-254.34,-0.02375
-256.5,-0.0222
-258.66,-0.02375
-261.36,-0.02385
-263.52,-0.02405
-265.68,-0.02575
-267.84,-0.0258
-270,-0.0236
-271.62,-0.0255
