Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.7,0
-3.24,0
-4.32,0
-5.4,0
-7.02,0
-8.64,-0.00445
-10.26,-0.01105
-12.42,-0.01605
-14.58,-0.0179
-16.74,-0.017
-18.9,-0.01635
-21.06,-0.01575
-23.22,-0.01655
-25.38,-0.01865
-27.54,-0.02185
-29.7,-0.02485
-31.86,-0.029
-34.02,-0.02965
-36.18,-0.0287
-38.34,-0.0252
-41.04,-0.02215
-42.66,-0.02085
-45.36,-0.01985
-47.52,-0.0226
-49.68,-0.02265
-51.84,-0.02485
-54,-0.0288
-56.16,-0.0293
-58.32,-0.02835
-60.48,-0.0274
-63.18,-0.02545
-65.34,-0.0267
-67.5,-0.02685
-69.66,-0.02565
-71.82,-0.02795
-73.98,-0.0318
-76.14,-0.034
-78.3,-0.0333
-80.46,-0.0333
-82.62,-0.0318
-85.32,-0.03135
-87.48,-0.03075
-89.64,-0.0323
-91.8,-0.0342
-93.96,-0.03425
-96.12,-0.03245
-98.28,-0.03345
-100.44,-0.0342
-102.6,-0.03415
-105.3,-0.0329
-107.46,-0.0327
-109.62,-0.03095
-111.78,-0.03125
-114.48,-0.031
-116.64,-0.02945
-118.8,-0.03065
-120.96,-0.03085
-123.66,-0.03085
-125.82,-0.0316
-127.98,-0.03165
-130.14,-0.02885
-132.84,-0.02755
-135,-0.02655
-137.7,-0.0265
-139.86,-0.0272
-142.02,-0.02465
-144.18,-0.0261
-146.88,-0.0279
-149.04,-0.02685
-151.2,-0.0266
-153.9,-0.0253
-156.06,-0.0239
-158.76,-0.02415
-160.92,-0.0238
-163.08,-0.02395
-165.24,-0.024
-167.94,-0.02155
-170.1,-0.02015
-172.8,-0.02025
-175.5,-0.0195
-177.66,-0.0157
-180.36,-0.0134
-182.52,-0.0136
-185.22,-0.0134
-187.38,-0.01225
-190.08,-0.0121
-192.24,-0.0124
-194.94,-0.0134
-197.1,-0.01625
-199.26,-0.01635
-201.42,-0.0177
-204.12,-0.01965
-206.28,-0.01975
-208.44,-0.0199
-210.6,-0.02255
-212.76,-0.0228
-214.92,-0.02365
-217.62,-0.0242
-219.78,-0.02225
-221.94,-0.0224
-224.64,-0.02215
-226.8,-0.02205
-228.96,-0.0242
-231.12,-0.0244
-233.28,-0.0244
-235.44,-0.0258
-237.6,-0.0284
-239.76,-0.0275
-242.46,-0.03
-244.62,-0.02815
-246.78,-0.02895
-248.94,-0.02905
-251.1,-0.0289
-253.26,-0.03
-255.42,-0.0319
-257.58,-0.0321
-259.74,-0.03325
-261.9,-0.03345
-264.6,-0.0343
-266.22,-0.03345
-268.92,-0.0353
