Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-4.32,0
-4.32,0
-4.86,0
-4.86,0
-5.4,-0.00045
-5.4,-0.00275
-5.94,-0.00475
-5.94,-0.00695
-6.48,-0.0088
-7.02,-0.00995
-7.02,-0.01145
-7.56,-0.01285
-8.1,-0.01395
-8.64,-0.015
-8.64,-0.0162
-9.18,-0.0179
-9.18,-0.01955
-9.72,-0.02105
-10.26,-0.02225
-10.8,-0.0242
-11.34,-0.02585
-11.34,-0.0271
-11.88,-0.02815
-12.42,-0.02915
-12.96,-0.0296
-13.5,-0.0296
-14.04,-0.02985
-14.58,-0.02965
-14.58,-0.02975
-15.12,-0.02985
-15.66,-0.02985
-16.2,-0.03045
-16.74,-0.0305
-17.28,-0.0307
-17.82,-0.03065
-18.36,-0.0307
-18.9,-0.03125
-19.44,-0.03125
-19.98,-0.0309
-20.52,-0.0309
-21.06,-0.0307
-21.6,-0.03075
-22.14,-0.03055
-22.68,-0.03075
-23.22,-0.0313
-24.3,-0.03125
-24.84,-0.03235
-25.38,-0.0323
-25.92,-0.0326
-25.92,-0.0327
-26.46,-0.0331
-27,-0.0338
-27.54,-0.03425
-28.08,-0.0344
-28.62,-0.03435
-29.16,-0.03475
-29.7,-0.0351
-30.24,-0.0349
-30.78,-0.03485
-31.32,-0.0347
-31.86,-0.03565
-32.4,-0.03575
-32.94,-0.035
-33.48,-0.03305
-34.02,-0.03095
-34.56,-0.0297
-35.1,-0.0294
-35.64,-0.03055
-36.18,-0.03085
-37.26,-0.03055
-37.8,-0.02935
-38.34,-0.02855
-38.88,-0.02725
-39.42,-0.0256
-39.96,-0.02345
-40.5,-0.0216
-41.04,-0.02055
-42.12,-0.0202
-42.66,-0.02
-43.2,-0.0198
-43.74,-0.0199
-44.28,-0.0201
-44.82,-0.0204
-45.36,-0.0208
-45.9,-0.0213
-46.44,-0.02165
-46.98,-0.0217
-48.06,-0.0215
-48.6,-0.022
-49.14,-0.02295
-49.68,-0.0238
-50.22,-0.02475
-50.76,-0.0258
-51.3,-0.02665
-51.84,-0.0272
-52.38,-0.0273
-52.92,-0.02725
-53.46,-0.02775
-54,-0.0279
-54.54,-0.028
-55.08,-0.02845
