Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-2.16,0
-2.7,0
-3.24,0
-4.32,0
-5.94,0
-7.56,0
-9.18,-0.0017
-10.8,-0.00745
-12.96,-0.01415
-14.58,-0.01635
-16.74,-0.0162
-18.9,-0.01365
-21.6,-0.014
-23.76,-0.0155
-25.92,-0.01625
-28.08,-0.0189
-30.24,-0.0231
-31.86,-0.0261
-34.02,-0.0259
-36.72,-0.02425
-38.88,-0.02325
-41.04,-0.0205
-43.2,-0.01825
-45.36,-0.0162
-48.06,-0.01735
-50.22,-0.01975
-52.38,-0.0219
-54.54,-0.0245
-56.7,-0.0248
-58.86,-0.02465
-61.02,-0.0223
-63.72,-0.02035
-65.88,-0.0185
-68.04,-0.01655
-70.74,-0.0167
-72.9,-0.01995
-75.06,-0.0228
-77.22,-0.02315
-79.38,-0.02345
-81.54,-0.02285
-84.24,-0.0228
-86.4,-0.02075
-88.56,-0.02135
-91.26,-0.02155
-93.42,-0.02125
-95.58,-0.0222
-97.74,-0.02215
-99.9,-0.0245
-102.06,-0.0255
-104.76,-0.0266
-106.92,-0.0243
-109.08,-0.02455
-111.24,-0.02415
-113.4,-0.0215
-116.1,-0.02225
-118.26,-0.02305
-120.42,-0.02615
-122.58,-0.02655
-125.28,-0.02515
-127.44,-0.02445
-129.6,-0.0243
-131.76,-0.02405
-133.92,-0.02285
-136.62,-0.02465
-138.78,-0.02435
-140.94,-0.02545
-143.64,-0.0251
-145.26,-0.0269
-147.96,-0.0276
-150.12,-0.02745
-152.28,-0.0245
-154.44,-0.0251
-157.14,-0.02465
-159.3,-0.02145
-162,-0.02085
-164.16,-0.02015
-166.32,-0.01695
-169.02,-0.0171
-171.18,-0.0162
-173.88,-0.0126
-176.04,-0.0129
-178.74,-0.01205
-180.9,-0.01415
-183.6,-0.01425
-185.76,-0.01315
-188.46,-0.0144
-190.62,-0.01435
-192.78,-0.0163
-194.94,-0.01635
-197.1,-0.01555
-199.8,-0.01785
-201.96,-0.01835
-204.12,-0.0165
-206.82,-0.01645
-208.98,-0.01645
-211.14,-0.018
-213.84,-0.0193
-216,-0.01925
-218.16,-0.01765
-220.32,-0.01815
-222.48,-0.0175
-225.18,-0.01795
-227.34,-0.021
-229.5,-0.02105
-231.66,-0.01965
-234.36,-0.0195
-236.52,-0.02155
-238.68,-0.0236
-240.84,-0.02585
-243,-0.0253
-245.16,-0.02595
-247.32,-0.0258
-249.48,-0.02565
-251.64,-0.0267
-253.8,-0.0276
-256.5,-0.02745
-258.66,-0.02825
-260.82,-0.02835
-262.98,-0.02795
-265.14,-0.0286
-267.3,-0.02885
-269.46,-0.02795
