Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-3.78,0
-4.32,0
-4.32,0
-4.86,0
-4.86,0
-5.4,-0.0001
-5.94,-0.00145
-5.94,-0.00225
-6.48,-0.0033
-7.02,-0.0044
-7.02,-0.00495
-7.56,-0.00555
-8.1,-0.00625
-8.64,-0.007
-8.64,-0.00755
-9.18,-0.0089
-9.72,-0.01015
-10.26,-0.0123
-10.8,-0.01345
-10.8,-0.01535
-11.34,-0.017
-11.88,-0.0184
-12.42,-0.019
-12.96,-0.01935
-13.5,-0.01955
-14.04,-0.01935
-14.58,-0.0192
-15.12,-0.0188
-15.66,-0.01835
-16.2,-0.0179
-16.74,-0.0174
-17.28,-0.0175
-17.82,-0.0172
-18.36,-0.01675
-18.9,-0.01685
-19.44,-0.01675
-19.98,-0.01675
-20.52,-0.01685
-21.06,-0.0167
-21.6,-0.0169
-22.14,-0.017
-23.22,-0.01745
-23.76,-0.01785
-24.3,-0.01835
-24.84,-0.019
-25.38,-0.01975
-25.92,-0.0201
-25.92,-0.02065
-26.46,-0.0212
-27,-0.02215
-27.54,-0.02315
-28.08,-0.0238
-28.62,-0.02445
-29.16,-0.02535
-29.7,-0.027
-30.24,-0.0281
-30.78,-0.02885
-31.32,-0.0297
-31.86,-0.0302
-32.4,-0.0302
-32.94,-0.02985
-33.48,-0.0298
-34.02,-0.0293
-34.56,-0.02805
-35.1,-0.0265
-35.64,-0.0246
-36.72,-0.02255
-37.26,-0.02105
-37.8,-0.02025
-38.34,-0.01945
-38.88,-0.01825
-39.42,-0.01665
-39.96,-0.0149
-40.5,-0.013
-41.58,-0.0113
-42.12,-0.00955
-42.66,-0.00725
-43.2,-0.00505
-43.74,-0.0032
-44.82,-0.00165
-45.36,-0.00015
-45.9,0
-46.44,0
-47.52,0
-48.06,0
-48.6,0
-49.68,0
-50.22,0
-50.76,0
-51.84,0
-52.38,0
-53.46,0
-54,0
-55.08,0
-55.62,0
-56.16,0
-56.7,0
-57.24,0
-57.78,0
-58.32,-0.0019
-58.86,-0.0087
-59.4,-0.0151
-59.94,-0.0207
-59.94,-0.02445
-60.48,-0.0263
-61.02,-0.02795
-61.56,-0.0295
-62.1,-0.0303
-62.64,-0.0313
