Angle,Torque
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.4,0
-7.02,0
-8.64,0
-10.8,-0.0065
-12.96,-0.0109
-15.12,-0.013
-17.28,-0.0125
-19.44,-0.0128
-21.6,-0.012
-24.3,-0.01055
-25.92,-0.01435
-28.08,-0.0194
-30.24,-0.0203
-32.4,-0.0225
-34.56,-0.02335
-37.26,-0.02315
-39.42,-0.02145
-41.58,-0.01925
-43.74,-0.0207
-45.9,-0.02005
-48.06,-0.0219
-50.22,-0.02165
-52.38,-0.02235
-54.54,-0.02325
-57.24,-0.023
-59.4,-0.02215
-61.56,-0.02305
-63.72,-0.02215
-66.42,-0.0188
-68.58,-0.0202
-70.74,-0.0207
-72.9,-0.0237
-75.06,-0.0258
-77.22,-0.0257
-79.38,-0.0246
-81.54,-0.0256
-84.24,-0.02555
-86.4,-0.0241
-88.56,-0.025
-91.26,-0.023
-93.42,-0.0235
-95.58,-0.02525
-97.74,-0.02495
-99.9,-0.02575
-102.06,-0.0266
-104.22,-0.02675
-106.38,-0.0281
-109.08,-0.02855
-111.24,-0.02745
-113.4,-0.02805
-115.56,-0.02805
-117.72,-0.0297
-119.88,-0.0308
-122.04,-0.03075
-124.74,-0.0299
-126.9,-0.03045
-129.06,-0.03025
-131.22,-0.0321
-133.38,-0.03205
-136.08,-0.031
-138.24,-0.03155
-140.4,-0.0319
-142.56,-0.0304
-144.72,-0.03145
-146.88,-0.03135
-149.04,-0.0303
-151.74,-0.02865
-153.9,-0.0284
-156.6,-0.02835
-158.76,-0.0265
-160.92,-0.02675
-163.62,-0.02525
-165.78,-0.02465
-167.94,-0.0234
-170.64,-0.021
-172.8,-0.02085
-175.5,-0.0203
-177.66,-0.01815
-180.36,-0.01765
-182.52,-0.01625
-185.22,-0.0134
-187.38,-0.01265
-190.08,-0.01045
-192.78,-0.0103
-194.94,-0.0101
-197.1,-0.0113
-199.8,-0.01285
-202.5,-0.0126
-204.66,-0.0124
-206.82,-0.01255
-209.52,-0.01385
-211.68,-0.01445
-213.84,-0.01335
-216,-0.0118
-218.7,-0.01275
-220.86,-0.013
-223.56,-0.0146
-225.72,-0.01435
-227.88,-0.0134
-230.58,-0.01625
-232.74,-0.01705
-234.9,-0.01725
-237.06,-0.01685
-239.22,-0.0158
-241.38,-0.01865
-244.08,-0.0185
-246.24,-0.02015
-248.4,-0.02115
-250.56,-0.02125
-252.72,-0.0228
-254.88,-0.0237
-257.04,-0.02375
-259.2,-0.024
-261.9,-0.0226
-264.06,-0.0235
-266.22,-0.0235
-268.38,-0.02355
-270.54,-0.0254
