Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-2.7,0
-3.78,0
-5.4,0
-7.02,0
-8.64,0
-10.8,-0.002
-12.96,-0.0086
-15.12,-0.01065
-17.28,-0.01075
-19.44,-0.01115
-21.6,-0.0133
-23.76,-0.0154
-25.92,-0.01735
-28.08,-0.01955
-30.24,-0.0248
-32.4,-0.02495
-34.56,-0.02395
-36.72,-0.0243
-38.88,-0.02215
-41.04,-0.0192
-43.2,-0.0205
-45.36,-0.02055
-48.06,-0.02155
-50.22,-0.02255
-52.38,-0.0241
-54.54,-0.025
-56.7,-0.0254
-58.86,-0.02335
-61.02,-0.022
-63.18,-0.02145
-65.88,-0.0203
-68.04,-0.0204
-70.2,-0.0214
-72.9,-0.0238
-75.06,-0.0246
-77.22,-0.0239
-79.38,-0.0222
-81.54,-0.0211
-84.24,-0.0186
-86.4,-0.0187
-88.56,-0.0185
-91.26,-0.01555
-93.42,-0.0172
-95.58,-0.0168
-98.28,-0.01905
-100.44,-0.02075
-102.6,-0.0205
-105.3,-0.0187
-107.46,-0.01875
-109.62,-0.01675
-111.78,-0.01575
-114.48,-0.0162
-116.64,-0.0162
-119.34,-0.01705
-121.5,-0.01835
-123.66,-0.0184
-125.82,-0.02005
-128.52,-0.0208
-130.68,-0.01855
-132.84,-0.01705
-135,-0.01725
-137.7,-0.01685
-139.86,-0.0171
-142.56,-0.0167
-144.72,-0.0119
-146.88,-0.01435
-149.04,-0.01465
-151.2,-0.0169
-153.9,-0.0187
-156.06,-0.019
-158.22,-0.02085
-160.38,-0.02305
-162.54,-0.02315
-164.7,-0.02355
-167.4,-0.02435
-169.56,-0.02495
-171.72,-0.02685
-173.88,-0.02695
-176.04,-0.0259
-178.2,-0.02725
-180.36,-0.03
-182.52,-0.02995
-184.68,-0.0298
-186.84,-0.02985
-189.54,-0.02925
-191.7,-0.0296
-193.86,-0.02975
-196.02,-0.02955
-198.18,-0.03115
-200.34,-0.03075
-202.5,-0.03
-204.66,-0.0304
-207.36,-0.0295
-210.06,-0.0224
-212.22,-0.015
-214.38,-0.01385
-217.08,-0.01345
-219.78,-0.01255
-221.94,-0.0116
-224.64,-0.01155
-226.8,-0.0152
-228.96,-0.01885
-231.66,-0.0195
-233.82,-0.01905
-235.98,-0.0185
-238.68,-0.01725
-240.84,-0.0166
-243.54,-0.01315
-245.7,-0.01255
-247.86,-0.0135
-250.02,-0.01665
-252.72,-0.019
-254.88,-0.01955
-257.04,-0.0183
-259.74,-0.01775
-261.9,-0.01645
-264.06,-0.017
-266.22,-0.01595
-268.92,-0.0128
-271.08,-0.0142
