Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.4,0
-7.56,0
-9.18,0
-10.8,-0.0035
-12.96,-0.01015
-15.12,-0.01265
-17.28,-0.0121
-19.44,-0.0101
-21.6,-0.011
-23.76,-0.01245
-25.92,-0.01525
-28.08,-0.01715
-30.24,-0.01845
-32.4,-0.0211
-35.1,-0.02115
-37.26,-0.0199
-39.42,-0.01665
-41.58,-0.0149
-43.74,-0.0135
-45.9,-0.0145
-48.6,-0.0162
-50.76,-0.01495
-53.46,-0.0154
-55.62,-0.0146
-57.78,-0.01235
-59.94,-0.0124
-62.64,-0.0092
-64.8,-0.00385
-67.5,-0.0049
-69.66,-0.005
-72.36,-0.00815
-74.52,-0.0091
-76.68,-0.009
-78.84,-0.01165
-81.54,-0.01225
-83.7,-0.01165
-85.86,-0.0125
-88.02,-0.0125
-90.18,-0.01545
-92.88,-0.0175
-94.5,-0.01935
-97.2,-0.021
-99.36,-0.0239
-100.98,-0.0254
-103.14,-0.02655
-105.3,-0.02835
-107.46,-0.02835
-109.62,-0.02625
-111.78,-0.02665
-113.94,-0.02745
-116.1,-0.02755
-118.26,-0.0297
-120.42,-0.02935
-123.12,-0.02935
-125.28,-0.02915
-127.44,-0.0269
-129.6,-0.0263
-131.76,-0.02645
-133.92,-0.02595
-136.08,-0.02525
-138.78,-0.0297
-140.94,-0.02975
-143.64,-0.0252
-145.8,-0.0186
-147.96,-0.0144
-150.66,-0.0149
-152.82,-0.01395
-155.52,-0.01025
-157.68,-0.012
-160.38,-0.0128
-162.54,-0.0144
-164.7,-0.01675
-167.4,-0.01665
-169.56,-0.02
-171.72,-0.0203
-174.42,-0.01655
-176.58,-0.01485
-178.74,-0.01465
-180.9,-0.01415
-183.6,-0.0166
-185.76,-0.01655
-188.46,-0.0167
-190.62,-0.01635
-192.78,-0.0173
-195.48,-0.01755
-197.1,-0.01775
-199.8,-0.01725
-201.96,-0.01615
-204.12,-0.0157
-206.82,-0.0159
-208.98,-0.01855
-211.14,-0.01855
-213.84,-0.02035
-216,-0.021
-218.16,-0.0212
-220.32,-0.01965
-222.48,-0.01995
-224.64,-0.02005
-227.34,-0.0222
-229.5,-0.02215
-231.66,-0.02255
-233.82,-0.0209
-235.98,-0.02115
-238.68,-0.02105
-240.84,-0.0225
-243,-0.02325
-245.16,-0.0232
-247.32,-0.0215
-249.48,-0.02255
-252.18,-0.0228
-254.34,-0.02185
-256.5,-0.0233
-258.66,-0.0246
-261.36,-0.02615
-263.52,-0.02595
-265.68,-0.0242
-267.84,-0.02475
-270,-0.0248
-271.62,-0.0262
