Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-0.54,0
-1.08,0
-1.08,0
-1.08,0
-1.08,0
-1.62,0
-1.62,0
-1.62,0
-1.62,0
-2.16,0
-2.16,0
-2.7,0
-2.7,0
-2.7,0
-3.24,0
-3.24,0
-3.78,0
-3.78,0
-4.32,0
-4.32,0
-4.86,0
-5.4,0
-5.4,0
-5.94,0
-6.48,0
-6.48,0
-7.02,0
-7.56,0
-8.1,0
-8.64,0
-8.64,-0.00165
-9.18,-0.00365
-9.72,-0.00525
-10.26,-0.0073
-10.8,-0.009
-11.34,-0.01105
-11.88,-0.0129
-12.42,-0.01465
-12.96,-0.01565
-13.5,-0.0169
-14.04,-0.01725
-14.58,-0.0179
-15.12,-0.01785
-15.66,-0.01775
-16.2,-0.0177
-16.74,-0.01745
-17.28,-0.01775
-17.82,-0.0173
-18.36,-0.01685
-18.9,-0.0169
-19.44,-0.0172
-19.98,-0.0177
-19.98,-0.0184
-20.52,-0.0191
-21.06,-0.0202
-21.6,-0.02055
-22.14,-0.02135
-22.68,-0.02185
-23.22,-0.02215
-23.76,-0.0225
-24.3,-0.0222
-24.84,-0.02235
-25.38,-0.0218
-25.92,-0.0219
-26.46,-0.0218
-27,-0.02205
-27.54,-0.02235
-28.08,-0.02235
-28.62,-0.0235
-29.16,-0.024
-29.7,-0.0239
-30.24,-0.02325
-31.32,-0.02215
-31.86,-0.02065
-32.4,-0.01925
-32.94,-0.01765
-33.48,-0.01615
-34.02,-0.0147
-34.56,-0.01345
-35.1,-0.012
-36.18,-0.01055
-36.72,-0.0098
-37.26,-0.0092
-37.8,-0.00845
-38.34,-0.0073
-39.42,-0.00585
-39.96,-0.00445
-40.5,-0.00305
-41.04,-0.002
-41.58,-0.00135
-42.12,-0.001
-42.66,-0.00085
-43.2,-0.00085
-43.74,-0.00075
-44.82,-0.00055
-45.36,-0.00065
-45.9,-0.0009
-46.44,-0.0011
-46.98,-0.0012
-47.52,-0.0014
-48.06,-0.00185
-48.6,-0.00235
-49.68,-0.00295
-50.22,-0.00365
-50.76,-0.00395
-51.3,-0.0039
-51.84,-0.0035
-52.38,-0.0031
-52.92,-0.0031
-54,-0.0031
-54.54,-0.0029
-55.08,-0.0024
-55.62,-0.00195
-56.16,-0.00195
-56.7,-0.00175
-57.78,-0.00115
-58.32,-0.0003
-58.86,0
-59.4,0
-59.94,0
-60.48,0
-61.02,0
-62.1,0
-62.64,0
-63.18,0
