Angle,Torque
0,0
0,0
0,0
0,0
0,0
0,0
-0.54,0
-1.08,0
-1.62,0
-2.16,0
-3.24,0
-4.32,0
-5.4,0
-7.02,0
-8.64,0
-10.26,-0.0038
-12.42,-0.01265
-14.58,-0.0157
-16.74,-0.01565
-18.9,-0.01515
-21.06,-0.01375
-23.22,-0.01655
-25.38,-0.0191
-27.54,-0.02085
-29.7,-0.0255
-31.86,-0.02785
-34.02,-0.02745
-36.18,-0.0262
-38.34,-0.02425
-41.04,-0.02245
-43.2,-0.02075
-45.36,-0.0193
-47.52,-0.0216
-49.68,-0.025
-51.84,-0.0273
-54,-0.02705
-56.16,-0.02615
-58.32,-0.02725
-60.48,-0.0264
-63.18,-0.02425
-65.34,-0.0234
-67.5,-0.02435
-70.2,-0.02515
-72.36,-0.0254
-74.52,-0.02585
-76.68,-0.0285
-78.84,-0.02785
-81,-0.0266
-83.16,-0.0252
-85.86,-0.0267
-88.02,-0.02615
-90.18,-0.02775
-92.34,-0.0262
-94.5,-0.02695
-96.66,-0.0287
-98.82,-0.0291
-101.52,-0.0296
-103.68,-0.0297
-105.84,-0.02735
-108.54,-0.0253
-110.7,-0.0257
-112.86,-0.02555
-115.02,-0.02625
-117.18,-0.0268
-119.88,-0.0261
-122.04,-0.02855
-124.2,-0.02995
-126.36,-0.02835
-128.52,-0.0288
-130.68,-0.03005
-133.38,-0.02925
-135.54,-0.02875
-137.7,-0.02835
-140.4,-0.0302
-142.56,-0.03075
-144.72,-0.03055
-146.88,-0.02965
-149.04,-0.03085
-151.2,-0.03095
-153.9,-0.03075
-156.06,-0.03185
-158.22,-0.0295
-160.38,-0.0297
-162.54,-0.0319
-164.7,-0.03175
-167.4,-0.0318
-169.56,-0.0314
-171.72,-0.0305
-173.88,-0.03215
-176.58,-0.03215
-178.74,-0.03065
-180.9,-0.03255
-183.06,-0.03165
-185.76,-0.0307
-187.92,-0.03215
-190.08,-0.03215
-192.24,-0.03025
-194.94,-0.03195
-197.1,-0.0316
-199.26,-0.02715
-201.96,-0.02465
-204.66,-0.0209
-206.82,-0.0166
-209.52,-0.01515
-212.22,-0.01375
-214.38,-0.0124
-216.54,-0.0129
-219.24,-0.0133
-221.94,-0.0159
-224.1,-0.01585
-226.8,-0.01665
-228.96,-0.0161
-231.12,-0.01655
-233.28,-0.0162
-235.98,-0.0152
-238.14,-0.01315
-240.84,-0.0138
-243,-0.01515
-245.7,-0.0173
-247.86,-0.01845
-250.02,-0.01825
-252.18,-0.0184
-254.88,-0.01805
-257.04,-0.01525
-259.2,-0.01435
-261.9,-0.01435
-264.06,-0.01495
-266.22,-0.01605
-268.92,-0.01605
-271.08,-0.01745
