开始时间,结束时间,报警代码,ErrorDetail,报警详情,报警分类,持续时间,工站
2025/6/26 8:11:11,2025/6/26 8:11:17,F01ESSE-01-03,Emergency Stop Alarm,设备急停报警,Safety Error,5.35,S2
2025/6/26 8:50:00,2025/6/26 8:50:05,M99EEDE-07-03,Lock the screw module X-axis alarm,锁螺丝模组X轴报警,Motion Error,4.9,S4
2025/6/26 8:48:21,2025/6/26 8:48:23,M99EEDE-04-03,1# Loading Y-axis - Alarm,1#Carrier上料Y轴报警,Motion Error,1.49,S2
2025/6/26 08:51:06,2025/6/26 08:51:07,M99EEDE-12-03,Product transfer-axis alarm,出料移载轴报警,Motion Error,1.8,S5
2025/6/26 9:20:11,2025/6/26 9:20:57,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,45.66,S2
2025/6/26 9:20:57,2025/6/26 9:21:59,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,61.84,S2
2025/6/26 9:22:14,2025/6/26 9:22:19,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,4.94,S2
2025/6/26 9:28:42,2025/6/26 9:29:33,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,50.77,S2
2025/6/26 9:29:48,2025/6/26 9:30:13,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,25.7,S2
2025/6/26 9:30:29,2025/6/26 9:30:46,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,16.44,S2
2025/6/26 9:30:46,2025/6/26 9:30:48,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,1.68,S2
2025/6/26 9:30:48,2025/6/26 9:30:49,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,1.38,S2
2025/6/26 9:30:50,2025/6/26 9:31:20,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,29.87,S2
2025/6/26 9:31:50,2025/6/26 9:32:25,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,35.36,S2
2025/6/26 9:32:26,2025/6/26 9:34:12,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,106.05,S2
2025/6/26 9:34:42,2025/6/26 9:36:18,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,95.8,S2
2025/6/26 9:36:48,2025/6/26 9:38:18,V01VSDV-132-03,Popup:Platform1 CHG Assembly Top Photography Failed,弹窗:组CHG上相机拍照失败1,Vision Error,90.1,S2
2025/6/26 9:48:53,2025/6/26 9:53:46,C04PNCY-37-03,Platform1 Rotating Clamping Cylinder Alarm ,YV0219_定位平台1Carrier旋转夹紧气缸报警,Cylinder Error,293.68,S2
2025/6/26 9:56:09,2025/6/26 9:56:51,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,42.11,S2
2025/6/26 9:57:50,2025/6/26 9:58:27,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,36.49,S2
2025/6/26 10:01:37,2025/6/26 10:02:13,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,36.21,S2
2025/6/26 10:09:59,2025/6/26 10:10:11,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,12.06,S2
2025/6/26 10:10:20,2025/6/26 10:10:22,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,1.59,S2
2025/6/26 10:11:45,2025/6/26 10:12:01,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,15.52,S2
2025/6/26 14:34:42,2025/6/26 14:35:52,U01VGVV-62-03,CHG Feeding Vacuum Alarm ,YVV0205_CHG取料真空报警,Vacuum Error,69.83,S2
2025/6/26 14:36:04,2025/6/26 14:36:08,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,3.97,S2
2025/6/26 15:29:33,2025/6/26 15:30:37,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,63.65,S2
2025/6/26 15:43:11,2025/6/26 15:43:27,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,15.71,S2
2025/6/26 15:44:02,2025/6/26 15:45:21,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,79.72,S2
2025/6/26 15:46:06,2025/6/26 15:46:28,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,21.65,S2
2025/6/26 15:50:39,2025/6/26 15:51:13,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,34.13,S2
2025/6/26 16:09:24,2025/6/26 16:09:31,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,6.16,S2
2025/6/26 16:10:30,2025/6/26 16:10:45,V02VSDV-156-03,Popup:Platform1 Rejude Photography Failed,弹窗:平台1复检拍照失败,Vision Error,14.87,S2
2025/6/26 16:15:58,2025/6/26 16:16:48,V02VSDV-123-03,Pop up: Platform 1 lock screw on camera to take NG,弹窗:平台1锁螺丝上相机拍照NG,Vision Error,50.11,S4
2025/6/26 16:25:21,2025/6/26 16:25:47,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,25.98,S2
2025/6/26 16:25:58,2025/6/26 16:26:36,C04PNCY-43-03,Platform1 CHG Holding Updown Cylinder Alarm ,YV0225_定位平台1CHG压料升降气缸报警,Cylinder Error,37.9,S2
