时间,通道,亮度,设置时间
2025/07/01 08:28:07:943,2,255,24ms
2025/07/01 08:28:08:064,2,0,24ms
2025/07/01 08:28:08:922,3,90,23ms
2025/07/01 08:28:08:952,2,255,23ms
2025/07/01 08:28:09:033,3,0,23ms
2025/07/01 08:28:09:064,2,0,23ms
2025/07/01 08:28:09:616,6,255,24ms
2025/07/01 08:28:09:687,6,0,23ms
2025/07/01 08:28:10:104,6,255,23ms
2025/07/01 08:28:10:171,6,0,24ms
2025/07/01 08:28:15:439,2,255,23ms
2025/07/01 08:28:15:543,2,0,23ms
2025/07/01 08:28:16:043,3,255,24ms
2025/07/01 08:28:16:110,3,0,23ms
2025/07/01 08:28:16:141,2,255,23ms
2025/07/01 08:28:16:247,2,0,23ms
2025/07/01 08:28:17:535,1,255,23ms
2025/07/01 08:28:17:653,1,0,23ms
2025/07/01 08:28:17:683,4,255,23ms
2025/07/01 08:28:17:791,4,0,23ms
2025/07/01 08:28:17:950,4,255,23ms
2025/07/01 08:28:18:054,4,0,24ms
2025/07/01 08:28:19:342,5,255,24ms
2025/07/01 08:28:19:509,5,0,23ms
2025/07/01 08:28:19:540,4,255,23ms
2025/07/01 08:28:19:624,4,0,23ms
2025/07/01 08:28:19:947,5,255,23ms
2025/07/01 08:28:20:109,5,0,23ms
2025/07/01 08:28:20:140,4,255,23ms
2025/07/01 08:28:20:225,4,0,23ms
2025/07/01 08:28:30:089,3,255,24ms
2025/07/01 08:28:30:151,3,0,23ms
2025/07/01 08:28:30:182,3,0,23ms
2025/07/01 08:28:30:213,2,255,23ms
2025/07/01 08:28:30:321,3,0,23ms
2025/07/01 08:28:30:352,2,0,23ms
2025/07/01 08:28:32:018,2,255,24ms
2025/07/01 08:28:32:112,2,0,24ms
2025/07/01 08:28:33:312,2,255,23ms
2025/07/01 08:28:33:425,2,0,23ms
2025/07/01 08:28:34:127,3,90,24ms
2025/07/01 08:28:34:157,2,255,23ms
2025/07/01 08:28:34:224,3,0,24ms
2025/07/01 08:28:34:254,2,0,24ms
2025/07/01 08:28:34:836,6,255,24ms
2025/07/01 08:28:34:902,6,0,23ms
2025/07/01 08:28:35:291,6,255,24ms
2025/07/01 08:28:35:363,6,0,23ms
2025/07/01 08:28:46:569,2,255,24ms
2025/07/01 08:28:46:669,2,0,23ms
2025/07/01 08:28:47:151,3,255,24ms
2025/07/01 08:28:47:217,3,0,23ms
2025/07/01 08:28:47:248,2,255,23ms
2025/07/01 08:28:47:357,2,0,23ms
2025/07/01 08:28:48:622,1,255,24ms
2025/07/01 08:28:48:732,1,0,24ms
2025/07/01 08:28:48:762,4,255,23ms
2025/07/01 08:28:48:869,4,0,24ms
2025/07/01 08:28:49:015,4,255,24ms
2025/07/01 08:28:49:119,4,0,24ms
2025/07/01 08:28:50:418,5,255,24ms
2025/07/01 08:28:50:582,5,0,24ms
2025/07/01 08:28:50:614,4,255,23ms
2025/07/01 08:28:50:698,4,0,23ms
2025/07/01 08:28:51:008,5,255,25ms
2025/07/01 08:28:51:168,5,0,23ms
2025/07/01 08:28:51:199,4,255,23ms
2025/07/01 08:28:51:284,4,0,24ms
2025/07/01 08:29:00:924,3,255,24ms
2025/07/01 08:29:00:985,3,0,23ms
2025/07/01 08:29:01:016,3,0,23ms
2025/07/01 08:29:01:047,2,255,23ms
2025/07/01 08:29:01:158,3,0,23ms
2025/07/01 08:29:01:190,2,0,24ms
2025/07/01 08:51:55:351,2,255,24ms
2025/07/01 08:51:55:484,2,0,23ms
2025/07/01 08:51:56:353,3,90,23ms
2025/07/01 08:51:56:384,2,255,23ms
2025/07/01 08:51:56:455,3,0,23ms
2025/07/01 08:51:56:486,2,0,23ms
2025/07/01 08:51:57:038,6,255,23ms
2025/07/01 08:51:57:109,6,0,24ms
2025/07/01 08:51:57:467,6,255,24ms
2025/07/01 08:51:57:534,6,0,23ms
2025/07/01 08:52:02:663,2,255,24ms
2025/07/01 08:52:02:763,2,0,24ms
2025/07/01 08:52:03:260,3,255,23ms
2025/07/01 08:52:03:326,3,0,24ms
2025/07/01 08:52:03:357,3,0,23ms
2025/07/01 08:52:03:389,2,255,24ms
2025/07/01 08:52:03:499,3,0,24ms
2025/07/01 08:52:03:530,2,0,24ms
2025/07/01 08:52:04:812,1,255,23ms
2025/07/01 08:52:04:914,1,0,23ms
2025/07/01 08:52:04:945,4,255,23ms
2025/07/01 08:52:05:038,4,0,23ms
2025/07/01 08:52:05:204,4,255,24ms
2025/07/01 08:52:05:302,4,0,24ms
2025/07/01 08:52:06:589,5,255,24ms
2025/07/01 08:52:06:758,5,0,24ms
2025/07/01 08:52:06:789,4,255,23ms
2025/07/01 08:52:06:874,4,0,24ms
2025/07/01 08:52:07:195,5,255,23ms
2025/07/01 08:52:07:359,5,0,23ms
2025/07/01 08:52:07:390,4,255,24ms
2025/07/01 08:52:07:474,4,0,23ms
2025/07/01 08:52:17:656,3,255,23ms
2025/07/01 08:52:17:718,3,0,23ms
2025/07/01 08:52:17:749,3,0,23ms
2025/07/01 08:52:17:780,2,255,23ms
2025/07/01 08:52:17:889,3,0,24ms
2025/07/01 08:52:17:921,2,0,24ms
2025/07/01 08:52:51:571,2,255,23ms
2025/07/01 08:52:51:667,2,0,24ms
2025/07/01 08:52:52:877,2,255,24ms
2025/07/01 08:52:52:993,2,0,24ms
2025/07/01 08:52:53:732,3,90,22ms
2025/07/01 08:52:53:765,2,255,24ms
2025/07/01 08:52:53:830,3,0,23ms
2025/07/01 08:52:53:861,2,0,23ms
2025/07/01 08:52:54:446,6,255,23ms
2025/07/01 08:52:54:513,6,0,24ms
2025/07/01 08:52:54:901,6,255,23ms
2025/07/01 08:52:54:969,6,0,23ms
2025/07/01 08:53:05:400,2,255,24ms
2025/07/01 08:53:05:499,2,0,23ms
2025/07/01 08:53:05:984,3,255,24ms
2025/07/01 08:53:06:053,3,0,25ms
2025/07/01 08:53:06:083,3,0,23ms
2025/07/01 08:53:06:115,2,255,24ms
2025/07/01 08:53:06:224,3,0,23ms
2025/07/01 08:53:06:255,2,0,24ms
2025/07/01 08:53:07:532,1,255,23ms
2025/07/01 08:53:07:632,1,0,24ms
2025/07/01 08:53:07:662,4,255,23ms
2025/07/01 08:53:07:758,4,0,23ms
2025/07/01 08:53:07:913,4,255,24ms
2025/07/01 08:53:08:009,4,0,23ms
2025/07/01 08:53:09:305,5,255,24ms
2025/07/01 08:53:09:464,5,0,23ms
2025/07/01 08:53:09:495,4,255,23ms
2025/07/01 08:53:09:579,4,0,24ms
2025/07/01 08:53:09:848,5,255,23ms
2025/07/01 08:53:10:009,5,0,24ms
2025/07/01 08:53:10:039,4,255,23ms
2025/07/01 08:53:10:124,4,0,24ms
2025/07/01 08:53:20:193,3,255,24ms
2025/07/01 08:53:20:255,3,0,24ms
2025/07/01 08:53:20:285,3,0,23ms
2025/07/01 08:53:20:316,2,255,24ms
2025/07/01 08:53:20:426,3,0,23ms
2025/07/01 08:53:20:458,2,0,25ms
2025/07/01 08:53:22:749,2,255,25ms
2025/07/01 08:53:22:866,2,0,24ms
2025/07/01 08:53:23:581,3,90,23ms
2025/07/01 08:53:23:612,2,255,23ms
2025/07/01 08:53:23:678,3,0,23ms
2025/07/01 08:53:23:710,2,0,24ms
2025/07/01 08:53:24:285,6,255,24ms
2025/07/01 08:53:24:350,6,0,23ms
2025/07/01 08:53:24:756,6,255,23ms
2025/07/01 08:53:24:823,6,0,23ms
2025/07/01 08:53:35:096,2,255,23ms
2025/07/01 08:53:35:191,2,0,23ms
2025/07/01 08:53:35:671,3,255,23ms
2025/07/01 08:53:35:739,3,0,23ms
2025/07/01 08:53:35:770,3,0,23ms
2025/07/01 08:53:35:802,2,255,24ms
2025/07/01 08:53:35:910,3,0,23ms
2025/07/01 08:53:37:212,1,255,23ms
2025/07/01 08:53:37:310,1,0,23ms
2025/07/01 08:53:37:341,4,255,23ms
2025/07/01 08:53:37:436,4,0,24ms
2025/07/01 08:53:37:584,4,255,24ms
2025/07/01 08:53:37:676,4,0,24ms
2025/07/01 08:53:38:977,5,255,24ms
2025/07/01 08:53:39:140,5,0,23ms
2025/07/01 08:53:39:171,4,255,23ms
2025/07/01 08:53:39:255,4,0,24ms
2025/07/01 08:53:39:510,5,255,23ms
2025/07/01 08:53:39:671,5,0,23ms
2025/07/01 08:53:39:701,4,255,23ms
2025/07/01 08:53:39:785,4,0,23ms
2025/07/01 08:53:49:846,3,255,24ms
2025/07/01 08:53:49:909,3,0,23ms
2025/07/01 08:53:49:939,3,0,22ms
2025/07/01 08:53:49:971,2,255,23ms
2025/07/01 08:53:50:082,3,0,24ms
2025/07/01 08:53:50:112,2,0,23ms
2025/07/01 08:53:51:431,2,255,24ms
2025/07/01 08:53:51:524,2,0,25ms
2025/07/01 08:53:52:718,2,255,24ms
2025/07/01 08:53:52:835,2,0,24ms
2025/07/01 08:53:53:541,3,90,22ms
2025/07/01 08:53:53:574,2,255,24ms
2025/07/01 08:53:53:639,3,0,23ms
2025/07/01 08:53:53:670,2,0,23ms
2025/07/01 08:53:54:236,6,255,24ms
2025/07/01 08:53:54:303,6,0,23ms
2025/07/01 08:53:54:703,6,255,23ms
2025/07/01 08:53:54:772,6,0,24ms
2025/07/01 08:54:05:180,2,255,24ms
2025/07/01 08:54:05:279,2,0,23ms
2025/07/01 08:54:05:759,3,255,23ms
2025/07/01 08:54:05:827,3,0,24ms
2025/07/01 08:54:05:858,3,0,24ms
2025/07/01 08:54:05:889,2,255,24ms
2025/07/01 08:54:06:000,3,0,24ms
2025/07/01 08:54:06:030,2,0,23ms
2025/07/01 08:54:07:301,1,255,23ms
2025/07/01 08:54:07:400,1,0,24ms
2025/07/01 08:54:07:430,4,255,23ms
2025/07/01 08:54:07:525,4,0,24ms
2025/07/01 08:54:07:673,4,255,23ms
2025/07/01 08:54:07:773,4,0,24ms
2025/07/01 08:54:09:081,5,255,24ms
2025/07/01 08:54:09:238,5,0,24ms
2025/07/01 08:54:09:269,4,255,23ms
2025/07/01 08:54:09:353,4,0,23ms
2025/07/01 08:54:09:687,5,255,23ms
2025/07/01 08:54:09:851,5,0,24ms
2025/07/01 08:54:09:881,4,255,23ms
2025/07/01 08:54:09:966,4,0,25ms
2025/07/01 08:54:19:850,3,255,23ms
2025/07/01 08:54:19:911,3,0,23ms
